subdistrict_name,street_name,property_name,address,listing_id,url,description,listing_history,pid,type,style,building_style,building_dimensions,age,beds,bathrooms_f_h,main_living_area,total_living_area,listing_parcel_size,prov_parcel_size,assessed_at,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances_incl,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned,pid_s
Subdistrict A (Bedford),"Amesbury Gate, Bedford","47 Amesbury Gate, Bedford, NS (NOVA SCOTIA)",,202504939,https://www.viewpoint.ca/cutsheet/202504939/1/47-Amesbury-Gate-Bedford,"This 5 bedroom home offers to the executive family, space, comfort, luxury and quality unsurpassed by any home in West Bedford. This home simply has it all! The main level feature a massive formal dining room an living area with 10"" ceilings throughout. A finely appointed butler's pantry, a large custom high ends contemporary kitchen with 5 appliances, marble countertops, built-in pantry, a prep kitchen area and a massive island. This area opens to the family room with large oversized windows looking onto a large deck and fully landscaped back yard. The family room is highlighted by a three way natural gas fireplace. The millwork and finish detailing in this home is of excellent quality. Hardwood flooring throughout the main and 2nd levels. Marble countertops and high end tile flooring in all bathrooms. The second floor has 4 large bedrooms with massive mater bedroom and finely appointed ensuite, main bath, laundry room complete with upgrade waster and natural gas dryer. The basement grade level has the 2 car garage, rec room, fitness room, 5th bedroom and games-room with wet bar. The side door walkout is ideal for teenagers or in-laws staying ver. Home is heated and cooled with a fully ducted natural gas heat pump system.","[{'status': 'Pending', 'start_date': 'Mar 14, 2025', 'end_date': '', 'list_price': '$1,199,900', 'sold_price': '', 'duration': '54 days', 'changes': ['Apr 7, 2025\nPrice change from $1,260,000 to $1,199,900', 'Apr 30, 2025\nStatus change from For Sale to Pending']}, {'status': 'Expired', 'start_date': 'Dec 7, 2024', 'end_date': 'Mar 1, 2025', 'list_price': '$1,260,000', 'sold_price': '', 'duration': '84 days', 'changes': ['Feb 28, 2025\nStatus change from For Sale to Expired']}, {'status': 'Expired', 'start_date': 'Jul 30, 2024', 'end_date': 'Dec 1, 2024', 'list_price': '$1,290,000', 'sold_price': '', 'duration': '124 days', 'changes': ['Sep 23, 2024\nPrice change from $1,380,000 to $1,290,000', 'Nov 30, 2024\nStatus change from For Sale to Expired']}, {'status': 'Sold', 'start_date': 'May 18, 2018', 'end_date': 'Jul 18, 2018', 'list_price': '$688,800', 'sold_price': '$685,000', 'duration': '61 days', 'changes': ['Jul 9, 2018\nStatus change from For Sale to Pending', 'Jul 18, 2018\nStatus change from Pending to Sold']}, {'status': 'Expired', 'start_date': 'Sep 16, 2015', 'end_date': 'Mar 1, 2016', 'list_price': '$128,000', 'sold_price': '', 'duration': '167 days', 'changes': ['Feb 29, 2016\nStatus change from For Sale to Expired']}]",41403320,Single Family,Detached,2 Level,38' x 39',8,5,3 / 1,"3,186 sqft","4,287 sqft","6,562 sqft","6,562 sqft","$1,103,500 (2025)",No,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Hardwood",Heat Pump,N/A,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in (double built-in)","Interlocking, Double (double interlocking)",No,N/A,N/A,"Landscaped, Level","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Stove, Washer",N/A,Mirrors in Living Room and next to the main entrance All art work on Walls (photos and prints) Living Room Furniture is availble for purchase separately,None,Keller Williams Select Realty,Yes,N/A,No,
Subdistrict A (Bedford),"Amesbury Gate, Bedford","216 Amesbury Gate, Bedford, NS (NOVA SCOTIA)","216 Amesbury Gate, West Bedford",202507715,https://www.viewpoint.ca/cutsheet/202507715/1/216-Amesbury-Gate-Bedford,"Welcome to 216 Amesbury Gate, an exceptionally rare opportunity to own the largest lot in West Bedford. Boasting over 3,500 square feet of beautifully finished living space and nestled on 1.4 acres of partially landscaped, treed land, this property offers the perfect blend of privacy, luxury, and natural charm. Step outside and enjoy your own private oasis, complete with a cleared walking path, lovely berry bushes, herbs and a variety of perennials, a bonus pond adjacent to the property—perfect for skating in the winter months. Inside, this stunning residence features 5 spacious bedrooms and 5 well-appointed bathrooms. The sun-drenched interior is highlighted by huge windows that fill the home with natural light. The main floor showcases a chef’s kitchen, a mudroom conveniently located off the garage, a walk-in pantry, and a cozy natural gas fireplace. From the kitchen, step out onto the large back deck—ideal for entertaining or relaxing in your peaceful surroundings. Upstairs, the luxurious primary suite offers a spa-like escape with a custom-designed walk-in closet, a spa-inspired ensuite bath, and a covered balcony to unwind with your morning coffee or evening reading spot. Each of the remaining three upstairs bedrooms includes access to its own ensuite bath—perfect for a growing family or visiting guests. The fully finished lower level features a bright and spacious rec room with walk-out access, a pool table, and a versatile bonus room that could be used as an office, additional bedroom, or home theatre. Additional highlights include solar panels for energy efficiency, a relaxing swim spa, and a double car garage that has been extended for extra space and functionality. Whether you're entertaining, raising a family, or simply enjoying the tranquility of nature, this home truly has it all. Opportunities like this are rare—don’t miss your chance to own this one-of-a-kind property in West Bedford.","[{'status': 'For Sale', 'start_date': 'Apr 14, 2025', 'end_date': '', 'list_price': '$1,225,000', 'sold_price': '', 'duration': '23 days', 'changes': ['May 7, 2025\nPrice change from $1,250,000 to $1,225,000']}, {'status': 'Sold', 'start_date': 'Apr 5, 2019', 'end_date': 'Apr 5, 2019', 'list_price': '$729,900', 'sold_price': '$750,000', 'duration': '0 days', 'changes': []}, {'status': 'Expired', 'start_date': 'Nov 1, 2018', 'end_date': 'Mar 2, 2019', 'list_price': '$999,900', 'sold_price': '', 'duration': '121 days', 'changes': ['Mar 1, 2019\nStatus change from For Sale to Expired']}, {'status': 'Expired', 'start_date': 'Apr 18, 2018', 'end_date': 'Nov 1, 2018', 'list_price': '$999,900', 'sold_price': '', 'duration': '197 days', 'changes': ['Sep 10, 2018\nPrice change from $899,900 to $999,900', 'Nov 1, 2018\nStatus change from For Sale to Expired']}, {'status': 'Cancelled', 'start_date': 'Jun 6, 2017', 'end_date': 'Mar 29, 2018', 'list_price': '$899,900', 'sold_price': '', 'duration': '296 days', 'changes': ['Mar 29, 2018\nStatus change from For Sale to Cancelled']}]",41406836,Single Family,Detached,2 Level,38x45,6,5,4 / 1,"2,528 sqft","3,589 sqft","60,043 sqft (1.4 acres)","60,043 sqft (1.4 acres)","$1,177,500 (2025)",Potential,Asphalt Shingle,N/A,Poured Concrete,Fully Developed,"Ceramic, Laminate, Hardwood","Baseboard, Heat Pump",N/A,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached (extended double)",2 parking spaces in front of home. additional parking along the side if needed.,No,N/A,"Ensuite Bath, Hot Tub","Partially Fenced, Landscaped, Stream/Pond, Wooded/Treed, Partial Cleared, Partial Landscaped","Electrical, Cable, Telephone, High Speed Internet",N/A,N/A,N/A,Other,Coldwell Banker Maritime Realty,Yes,N/A,No,
Subdistrict A (Bedford),"Azita Court, Bedford","15 Azita Court, Bedford, NS (NOVA SCOTIA)",,202507164,https://www.viewpoint.ca/cutsheet/202507164/1/15-Azita-Court-Bedford,"Situated in Bedford's wonderful Moirs Mill area, this three-level, semi-detached home is ready for new owners! You'll love the gleaming hardwood floors throughout. Starting on the grade-entry level, the family room, complete with a walkout, was previously used as a crafting area. Built-in shelving offers excellent storage, making it perfect for hobbies, books, puzzles, toys, or whatever suits your lifestyle. From here, step out into the wooded and treed backyard. Up on the main floor, enjoy morning sun on your back deck and sunsets from the front yard. This level features a spacious open-concept living, dining, and kitchen area, complete with room for an additional table, as well as a convenient 2-piece bathroom. On the top floor, the primary suite is generously sized, featuring double closets and a 4-piece ensuite. Two additional bedrooms and a third full bathroom complete this level. For year-round comfort, the home is equipped with three ductless mini-split heat pumps, one on each floor. Located on a quiet cul-de-sac, this home is just minutes from all the amenities that make Bedford such a desirable place to live.","[{'status': 'For Sale', 'start_date': 'Apr 8, 2025', 'end_date': '', 'list_price': '$589,900', 'sold_price': '', 'duration': '29 days', 'changes': ['May 5, 2025\nPrice change from $599,900 to $589,900']}, {'status': 'Sold', 'start_date': 'Apr 9, 2009', 'end_date': 'Jun 15, 2009', 'list_price': '$234,900', 'sold_price': '$226,000', 'duration': '67 days', 'changes': []}]",40728172,Single Family,Semi-Detached,2 Level,"34'3"" x 19'7""",30,3,2 / 1,"1,652 sqft","1,652 sqft","2,213 sqft","2,213 sqft","$525,500 (2025)",Potential,Asphalt Shingle,Vinyl,Poured Concrete,"Full, Fully Developed, Walkout","Ceramic, Carpet, Hardwood","Baseboard, Heat Pump",N/A,N/A,"Electric, Propane",Municipal,Municipal,"Yes, Single, Built-in, Wired (single built in)","Paved, Single",No,N/A,"Ensuite Bath, Central Vac Roughed In","Landscaped, Level, Sloping/Terraced, Wooded/Treed","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer","Fridge, Stove, Microwave, Dishwasher, Washer, Dryer (Stove ""as is"")",N/A,Propane Tank,Royal Lepage Atlantic,Yes,N/A,No,
Subdistrict A (Bedford),"Bradford Place, Bedford","108 Bradford Place, Bedford, NS (NOVA SCOTIA)",,202508791,https://www.viewpoint.ca/cutsheet/202508791/1/108-Bradford-Place-Bedford,"Welcome to 108 Bradford Place in the feverishly popular and sought-after Waterberry Park community of West Bedford. This exciting, 7 years young, 4-bedroom / 3- full bathroom modern home sits on a beautifully landscaped and partially fenced-in lot and has been meticulously maintained by its original owners. The curb appeal of the street and homes with its abundance of custom architectural builds, paver stone driveways, and chic modern designs create a lasting first impression. Inside, discerning buyers will fall in love with the attractive open-concept floor plan and gorgeous high-end finishes. The main floor has an inviting wall-papered foyer with french doors, a street-facing bedroom/office (perfect for extended family), a full bath + laundry room, a delightful chef's kitchen with gorgeous mocha cabinets, large sit-up island and granite surfaces, high-ceilings, a spacious living room with a feature wall gas fireplace, a custom beverage bar with bonus storage in the dining room and patio doors to an over-sized entertainment deck with privacy panels and stairs to the yard! A full view of your gorgeous perennials, large 12x16 garden shed and warm sun all day long! The penthouse primary bedroom MUST be seen in person, features the entire upper level and is partnered with a spa-like ensuite with custom glass shower, soaker tub, double vanity and large walk-in closet. The basement will not feel so ""down"" with two more large bedrooms, a large rec room, home theatre/flex room and lots of storage. The home features solid-surface flooring throughout, as well as a natural gas ducted heat pump system for heating and cooling, and energy efficiency/ savings! This home features a host of custom details you will not find in new construction today at this price. Contact your agent for a list of upgrades too long to list here and other details. This home is truly special and should not be missed.","[{'status': 'For Sale', 'start_date': 'Apr 24, 2025', 'end_date': '', 'list_price': '$999,900', 'sold_price': '', 'duration': '13 days', 'changes': []}, {'status': 'Sold', 'start_date': 'Apr 21, 2017', 'end_date': 'Nov 6, 2017', 'list_price': '$544,900', 'sold_price': '$553,966', 'duration': '199 days', 'changes': ['Oct 16, 2017\nStatus change from For Sale to Pending', 'Nov 27, 2017\nStatus change from Pending to Sold']}]",41404880,Single Family,Detached,Bungalow,32.10x48.9 +/- jog,7,4,3 / 0,"2,294 sqft","3,429 sqft","9,688 sqft","9,684 sqft","$932,200 (2025)",N/A,Asphalt Shingle,"Steel, Brick, Aluminium Siding, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Laminate, Hardwood","Heat Pump, Fireplace",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, 1.5 (attached, 1.5)","Interlocking, Double",No,N/A,"Fireplace(s), HRV (Heat Recovery Ventilation)","Landscaped, Level","Electrical, Cable, Telephone, Natural Gas, High Speed Internet, Other","Dishwasher, Dryer, Refrigerator, Stove - Gas, Washer","fridge, stove, dishwasher, range hood, washer, dryer","wireless hotspots main floor & basement, motion sensor switches, security system with flood sensors & glass break monitors, shed storage inside, selected perennials, some flag stones in backyard",None,Royal Lepage Atlantic,Yes,N/A,No,
Subdistrict A (Bedford),"Bramwell Court, Bedford","61 Bramwell Court, Bedford, NS (NOVA SCOTIA)",,202508821,https://www.viewpoint.ca/cutsheet/202508821/1/61-Bramwell-Court-Bedford,"Welcome to 61 Bramwell Crt, located in the heart of The Parks of West Bedford—where thoughtful design meets modern comfort. This contemporary 4-bed, 4-bath home offers a spacious layout backing onto a peaceful greenbelt, blending natural privacy w/ everyday convenience. Step inside to an open-concept main floor that feels both stylish & inviting. The kitchen is beautifully designed w/ clean lines, ample counter space, & a generous walk-in pantry—perfect for entertaining or daily family life. A bright dining area completes the space, making it the heart of the home. Upstairs, the spacious primary suite is a true retreat, featuring a spa-like ensuite w/ a soaker tub, ideal for unwinding at the end of the day. 2 additional well-sized bedrms, a full bath, & a dedicated laundry room complete this level w/ comfort & functionality. The lower level has a huge rec room, a cozy family rm, a private office, & another full bathrm. The walkout basement opens directly into the extended backyard, offering seamless access to the greenbelt, perfect for outdoor living & enjoying the natural setting.","[{'status': 'For Sale', 'start_date': 'Apr 24, 2025', 'end_date': '', 'list_price': '$919,900', 'sold_price': '', 'duration': '13 days', 'changes': []}, {'status': 'Sold', 'start_date': 'Jan 15, 2018', 'end_date': 'Jan 22, 2019', 'list_price': '$509,900', 'sold_price': '$509,900', 'duration': '372 days', 'changes': ['Feb 20, 2018\nPrice change from $499,900 to $509,900', 'Jul 16, 2018\nStatus change from For Sale to Expired', 'Jul 17, 2018\nStatus change from Expired to For Sale', 'Dec 24, 2018\nStatus change from For Sale to Withdrawn', 'Jan 8, 2019\nStatus change from Withdrawn to For Sale', 'Jan 17, 2019\nStatus change from For Sale to Pending', 'Jan 22, 2019\nStatus change from Pending to Sold']}]",41427915,Single Family,Detached,2 Level,53' 7 x 22' +/- jog,7,4,3 / 1,"2,171 sqft","3,037 sqft","4,332 sqft","4,330 sqft","$865,300 (2025)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Laminate, Hardwood","Heat Pump, Fireplace",N/A,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Single, Heated (single attached)",Paved,No,N/A,"Air Exchanger, Central Vacuum, Ensuite Bath","Landscaped, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer - Electric, Microwave Rng Hd Combo, Oven - Electric, Range - Electric, Refrigerator, Washer","Oven, F, Range, DW, D, W, Microwave",N/A,None,Royal Lepage Atlantic,Yes,N/A,No,
Subdistrict A (Bedford),"Christie Court, Bedford","2 Christie Court, Bedford, NS (NOVA SCOTIA)",,202503685,https://www.viewpoint.ca/cutsheet/202503685/1/2-Christie-Court-Bedford,"A Perfect Blend of Comfort, Convenience & Opportunity. Tucked away on a quiet cul-de-sac in the heart of Bedford South, this thoughtfully updated home strikes the perfect balance between style and function. Nestled in a highly sought-after school district and just minutes from everyday amenities, it’s also within walking distance of DeWolf Park and Paper Mill Lake—ideal for those who enjoy an active lifestyle and peaceful surroundings. Step inside and discover a move-in-ready space filled with modern upgrades. The recently renovated kitchen, featuring new appliances, is both stylish and practical—perfect for cooking, gathering, and making memories. Just beyond, the generous walk-out deck extends your living space outdoors, providing an ideal setting for summer entertaining. The bright and spacious primary suite offers a true retreat, complete with a walk-in closet featuring custom built-ins and a private ensuite. Recent upgrades include an efficient ducted heat pump system for year-round comfort, panel upgrade, a brand-new front deck, fresh paint throughout, and a roof replacement in 2020. But the standout feature? A self-contained lower-level in-law suite with the addition of its own private entrance and newly added bathroom—offering incredible flexibility for multi-generational living, guests and more. Every detail in this home has been carefully considered to offer comfort, convenience, and opportunity.","[{'status': 'For Sale', 'start_date': 'Feb 27, 2025', 'end_date': '', 'list_price': '$674,900', 'sold_price': '', 'duration': '69 days', 'changes': ['Mar 14, 2025\nPrice change from $719,900 to $699,900', 'Mar 29, 2025\nPrice change from $699,900 to $694,900', 'Mar 31, 2025\nPrice change from $694,900 to $674,900']}, {'status': 'Sold', 'start_date': 'Apr 20, 2021', 'end_date': 'Apr 30, 2021', 'list_price': '$419,900', 'sold_price': '$535,000', 'duration': '10 days', 'changes': ['Apr 23, 2021\nStatus change from For Sale to Pending', 'Apr 30, 2021\nStatus change from Pending to Sold']}, {'status': 'Sold', 'start_date': 'Apr 22, 2016', 'end_date': 'May 10, 2016', 'list_price': '$264,900', 'sold_price': '$265,000', 'duration': '18 days', 'changes': ['Apr 27, 2016\nStatus change from For Sale to Pending', 'May 10, 2016\nStatus change from Pending to Sold']}]",40671695,Single Family,Detached,2 Level,35 x 20 + bay,30,4,3 / 1,"1,415 sqft","2,068 sqft","3,008 sqft","3,008 sqft","$597,000 (2025)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Laminate, Hardwood","Heat Pump, Fireplace, Ductless Cooling",Yes,N/A,"Electric, Propane",Municipal,Municipal,"No, None","Paved, Double (double, paved)",No,N/A,"Air Exchanger, Secondary Suite, Ensuite Bath, Propane Fireplace","Cleared, Landscaped","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer",Appliances,N/A,Propane Tank,The Agency Real Estate Brokerage,No,N/A,No,
Subdistrict A (Bedford),"Crownridge Drive, Bedford","70 Crownridge Drive, Bedford, NS (NOVA SCOTIA)","70 Crownridge Drive, Bedford",202503015,https://www.viewpoint.ca/cutsheet/202503015/1/70-Crownridge-Drive-Bedford,"Welcome to 70 Crownridge Drive, this absolutely magnificent 4 bed, 4 bath executive custom built home with double car garage is situated on a private cul de sac, in sought after,""Parks of West Bedford"". Every detail in this architectural masterpiece exudes quality, design excellence & elegance. The main level boasts beautiful living areas with N/G fireplace, impressive dining room, a gourmet kitchen w/ outstanding 10' island, side by side fridge/freezer & pantry. Oversized patio doors off the dining lead out to the expansive back deck with glass railing, composite decking & stairs to the lower tiered deck and beautiful fenced yard. A 2pc powder bath, mudroom with lockers & private den/office complete this level. Step upstairs to 3 very well appointed bedrooms, 2 (5pc) bath & the laundry room. The penthouse primary suite boasts tray ceilings, gorgeous large windows, 5pc spa like ensuite & walk in closet complete with dressing & get ready centre. The lower level is complete with a full walk out to the lower tiered deck...a gorgeous family/games room with fireplace finished with shiplap & stylish wet bar. The 4th bedroom, 4pc bath, playroom, den/office & utility/storage room finish this level. Notable features: natural gas fully ducted heat pump, natural gas fireplace, gas stove, impeccable finishes, oversized windows, upgraded trim & millwork throughout, stunning hard surface counters, sublime lighting and so very much more...Close to schools, BMO centre, coffee shops, health food store, restaurant, parks, walking trails and more...This one of a kind custom home is truly a must see!","[{'status': 'For Sale', 'start_date': 'Feb 17, 2025', 'end_date': '', 'list_price': '$1,299,900', 'sold_price': '', 'duration': '79 days', 'changes': ['Apr 18, 2025\nPrice change from $1,335,000 to $1,299,900']}, {'status': 'Cancelled', 'start_date': 'Jun 5, 2019', 'end_date': 'Feb 13, 2020', 'list_price': '$799,900', 'sold_price': '', 'duration': '253 days', 'changes': ['Feb 13, 2020\nStatus change from For Sale to Cancelled']}, {'status': 'Expired', 'start_date': 'Mar 5, 2018', 'end_date': 'Dec 1, 2018', 'list_price': '$769,900', 'sold_price': '', 'duration': '271 days', 'changes': ['Nov 30, 2018\nStatus change from For Sale to Expired']}]",41440496,Single Family,Detached,2 Level,37.5 x 49 +/-jogs,3,4,3 / 1,"2,637 sqft","3,735 sqft","6,233 sqft","6,233 sqft","$1,185,800 (2025)",N/A,Asphalt Shingle,"Stone, Wood Siding, Vinyl",Poured Concrete,"Fully Developed, Walkout","Laminate, Hardwood, Porcelain","Heat Pump, Ducted Cooling",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in (double/built in)","Exposed Aggregate, Double (double wide/exposed aggregate)",No,N/A,"Air Exchanger, Ensuite Bath, Fireplace(s), Electric Fireplace","Landscaped, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Freezer - Stand Up, Range - Gas, Refrigerator, Washer","Fridge,Stove,Dishwasher,Washer,Dryer,Blinds,Bar fridge",Curtains,None,One Percent Realty East Inc.,Yes,N/A,No,
Subdistrict A (Bedford),"Crownridge Drive, Bedford","90 Crownridge Drive, Bedford, NS (NOVA SCOTIA)",,202508352,https://www.viewpoint.ca/cutsheet/202508352/1/90-Crownridge-Drive-Bedford,"Welcome to the Crownridge Jewel - a one-of-a-kind masterpiece where luxury, design, and innovation converge. Nestled at the end of a quiet cul-de-sac on the prestigious Crownridge Drive, this exceptional home offers ultimate privacy with stream views and direct access to scenic walking trails leading to a tranquil lake - all within easy reach of city conveniences. A rare opportunity to own a property that blends nature with modern elegance. At the heart of the home is a designer kitchen featuring a full suite of Miele appliances, including a 48"" 6-burner gas range, steam oven, convection oven, warming drawer, plumbed-in coffee maker, double dishwashers, and a wine fridge. The quartz waterfall island serves as a central feature, complemented by a walk-in pantry and a custom wine wall, creating a striking focal point between the kitchen and living areas. Crafted for comfort and indulgence, retreat to your spa-inspired sanctuary, with heated floors, frameless glass sauna, hot tub, and dual rainfall showers. The hidden home theatre boasts a 106"" screen and a full wet bar. The primary suite offers dual boutique-style His & Hers walk-in closets, a built-in LG steamer, and a luxurious ensuite. Throughout the home, enjoy smart automation, a 9-zone Sonos system, Hunter Douglas motorized blinds, and two-zone VRV climate control. Architectural highlights include 10-ft ceilings, floating stairs, a custom maple slat wall, and a 10-ft granite gas fireplace. Step outside into your private resort: a 36' saltwater pool with a double waterfall, dedicated pool house, gas fire pit, BBQ, and backyard audio system - perfect for relaxation and entertainment. Wrapped in Genetek steel siding, the home features a 12-ft retaining wall and illuminated landscaping. This is more than a home - it's an exclusive sanctuary, offering a lifestyle that can't be replicated. An opportunity like this is one in a million. Ask your agent for the full features brochure and schedule your private tour today.","[{'status': 'For Sale', 'start_date': 'Apr 21, 2025', 'end_date': '', 'list_price': '$2,850,000', 'sold_price': '', 'duration': '16 days', 'changes': []}, {'status': 'Sold', 'start_date': 'Dec 9, 2019', 'end_date': 'Jan 17, 2020', 'list_price': '$1,195,900', 'sold_price': '$1,557,873', 'duration': '39 days', 'changes': ['Dec 19, 2019\nStatus change from For Sale to Pending', 'Jan 20, 2020\nStatus change from Pending to Sold']}, {'status': 'Expired', 'start_date': 'Nov 27, 2018', 'end_date': 'Oct 1, 2019', 'list_price': '$899,900', 'sold_price': '', 'duration': '308 days', 'changes': ['Jul 9, 2019\nStatus change from For Sale to Pending', 'Aug 16, 2019\nStatus change from Pending to For Sale', 'Oct 1, 2019\nStatus change from For Sale to Expired']}, {'status': 'Expired', 'start_date': 'May 22, 2018', 'end_date': 'Nov 23, 2018', 'list_price': '$899,900', 'sold_price': '', 'duration': '185 days', 'changes': ['Nov 22, 2018\nStatus change from For Sale to Expired']}]",41440538,Single Family,Detached,3 Level,60 x 50,4,5,4 / 1,"6,467 sqft","6,467 sqft","12,764 sqft","12,764 sqft","$1,904,200 (2025)",No,Asphalt Shingle,"Steel, Brick",Poured Concrete,"Fully Developed, Walkout","Engineered Hardwood, Carpet","Heat Pump, Fireplace, In Floor, Ducted Cooling",Yes,Yes,Natural Gas,Municipal,Municipal,"Yes, Attached, Double, Heated (extra wide double car garage with epoxy flooring. wired and heated.)","Block, Double (2 cars fit on the driveway)",No,N/A,"Gas Stove(s), Air Exchanger, Alarm System, Ensuite Bath, Balcony, In-Ground Pool, Hot Tub, Fireplace(s), HRV (Heat Recovery Ventilation), Central Vac Roughed In","Cleared, Landscaped, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Barbeque, Dishwasher, Dryer, Freezer, Garburator, Microwave Rng Hd Combo, Oven, Range - Gas, Refrigerator, Washer, Wine Fridge",N/A,N/A,None,Re/max Nova (halifax),Yes,N/A,No,
Subdistrict A (Bedford),"Millrun Crescent, Bedford","102 Millrun Crescent, Bedford, NS (NOVA SCOTIA)",,202508808,https://www.viewpoint.ca/cutsheet/202508808/1/102-Millrun-Crescent-Bedford,"Spacious 4-bed, 2-storey home with nearly 3200 sq ft of finished living space on an oversized 11,368 sq ft lot in Bedford’s coveted Papermill Lake neighborhood. Just steps to the lake for swimming or paddling, scenic walking trails, and the Bedford Waterfront boardwalk. Enjoy nearby amenities and many recent upgrades, including roof shingles (Nov ’24), heat pumps (’22), kitchen and bath updates, and more. Cozy up by the propane fireplace in the main floor family room or relax on the deck under the pergola in your private backyard. Features include an attached garage, fully finished basement with new flooring, and a versatile bonus room over the garage with lake views—ideal as a 5th bedroom or flex space. This home has it all, in a location that’s hard to beat. Don’t miss your chance to view!","[{'status': 'Pending', 'start_date': 'Apr 24, 2025', 'end_date': '', 'list_price': '$725,000', 'sold_price': '', 'duration': '13 days', 'changes': ['May 1, 2025\nStatus change from For Sale to Pending']}, {'status': 'Sold', 'start_date': 'May 9, 2011', 'end_date': 'Jul 27, 2011', 'list_price': '$379,900', 'sold_price': '$357,100', 'duration': '79 days', 'changes': ['May 26, 2011\nPrice change from $409,900 to $379,900', 'Jun 7, 2011\nStatus change from For Sale to Pending', 'Jul 28, 2011\nStatus change from Pending to Sold']}]",40185142,Single Family,Detached,2 Level,"46""6 x 46'10",40,4,2 / 2,"2,493 sqft","3,182 sqft","11,368 sqft","11,368 sqft","$617,300 (2025)",N/A,Asphalt Shingle,"Brick, Vinyl",Block Concrete,Fully Developed,"Ceramic, Carpet, Laminate, Hardwood","Baseboard, Heat Pump",Yes,N/A,Electric,Municipal,Municipal,"Yes, Built-in, 1.5 (1.5, built-in)","Paved, Multiple Driveways",No,N/A,"Air Exchanger, Ensuite Bath, Propane Fireplace","Landscaped, Rolling, Sloping/Terraced","Electrical, Cable, Telephone, High Speed Internet, Other","Dryer, Refrigerator, Stove, Washer",N/A,N/A,Propane Tank,Royal Lepage Atlantic,Yes,N/A,No,
Subdistrict A (Bedford),"Oceanview Drive, Bedford","223 Oceanview Drive, Bedford, NS (NOVA SCOTIA)","223 Oceanview Drive, Halifax",202427163,https://www.viewpoint.ca/cutsheet/202427163/1/223-Oceanview-Drive-Bedford,"Welcome to 223 Oceanview Drive, Located in a friendly family,quiet and safe neighbourhood in Bedford South! Close to most amenities and Bedford South school. 350m to Nine Mile Dr Park, 800m to Bedford South Elementary School and 1km to Larry Uteck Commercials. This detached home features 3 bedrooms, 2 full baths with a single garage. Main floor features a good size of living and dining room with hardwood floor, large eat-in kitchen with rear deck to private backyard with mature trees. Upstairs has a Spacious master bedroom with a walk-in closet and ensuite bathroom with a jacuzzi. And other two bedrooms, one full bathroom for these 2 bedrooms for sharing. Finished lower level with rec room, laundry room, storage and garage. Driveway is big enough for 2 cars. Recent upgrades include a new oil tank(2024), new roof(2020). Brand new vinyl floor in all the bedrooms upstairs and also a new vanity in the ensuite bathroom. This is ideal for a family to live in Or investment for rent!You won't want to miss it!","[{'status': 'For Sale', 'start_date': 'Nov 22, 2024', 'end_date': '', 'list_price': '$615,000', 'sold_price': '', 'duration': '166 days', 'changes': ['Mar 25, 2025\nStatus change from For Sale to Withdrawn', 'Mar 27, 2025\nStatus change from Withdrawn to For Sale', 'Mar 31, 2025\nPrice change from $629,900 to $615,000']}, {'status': 'Sold', 'start_date': 'Jun 12, 2009', 'end_date': 'Jun 26, 2009', 'list_price': '$256,900', 'sold_price': '$246,000', 'duration': '14 days', 'changes': []}]",40732299,Single Family,Detached,2 Level,20x36,24,3,2 / 1,"1,420 sqft","1,900 sqft","3,410 sqft","3,410 sqft","$549,800 (2025)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Fully Developed,"Carpet, Hardwood, Vinyl",Baseboard,N/A,N/A,Oil,Municipal,Municipal,"Yes, Attached, Single (single)","Paved, Parking Space(s) (paved)",No,N/A,HRV (Heat Recovery Ventilation),Landscaped,"Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer",N/A,N/A,None,Royal Lepage Atlantic,No,N/A,No,
