subdistrict_name,street_name,property_name,name,url,listing_id,description,date_posted,price,street_address,adress_locality,postal_code,rooms,bathrooms,listing_history,pid,type,style,building_style,building_dimensions,age,beds,bathrooms_f_h,main_living_area,total_living_area,listing_parcel_size,prov_parcel_size,assessed_at,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances_incl,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned
Subdistrict A (Bedford),"Amesbury Gate, Bedford","182 Amesbury Gate, Bedford, NS (NOVA SCOTIA)",182 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202517833/1/182-Amesbury-Gate,202517833,"Beautifully designed single detached home located in the prestigious and rapidly growing West Bedford subdivision—one of Halifax’s most desirable and family-friendly communities. This spacious home offers 3,048 sq. ft. of well-appointed living space, combining modern design, functional layout, and energy-efficient features. From the moment you step into the generously sized foyer, you’ll be impressed by the natural light and the sense of openness created by the 18-foot ceiling in the living room. The main level features an open-concept layout with a seamless flow between the kitchen, dining area, and living space, ideal for family life and entertaining. A walk-in pantry adds extra storage, while the composite double deck at the rear provides a perfect spot for outdoor gatherings, overlooking a private, tree-lined backyard. Upstairs, you'll find a spacious primary bedroom complete with a walk-in closet ,an 5pc ensuite, along with two additional bedrooms and a full bathroom—perfect for families of all sizes. The fully finished walkout basement includes a recreation room, ideal for movie nights or game days, plus an extra bedroom and full bathroom, offering a private space for guests or extended family. Comfort is ensured year-round with an efficient natural gas boiler system and hot water baseboard heating, supplemented by a ductless heat pump on the main floor and a ducted heat pump system upstairs for optimal climate control. A newly installed solar system enhances the home's energy efficiency and sustainability, and will be paid off in full upon closing, making it a smart long-term investment for the future homeowner. Additional perks include a school bus stop conveniently located right in front of the house, adding unmatched ease for families with school-age children. Don’t miss the chance to own this exceptional home in one of Halifax’s top neighborhoods.",2025-07-16,1070000,182 Amesbury Gate,Bedford,B4B 0S7,4,4,[],41406752,Single Family,Detached,2 Level,35x41,8,4,3 / 1,"1,949 sqft","3,024 sqft","8,490 sqft","8,490 sqft","$887,500 (2025)",Potential,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,"Fully Developed, Walkout","Tile, Laminate, Hardwood","Baseboard, Heat Pump, Hot Water",Yes,N/A,"Natural Gas, Solar, Electric",Municipal,Municipal,"Yes, Double, Built-in (double , built in)","Paved, Double (double , paved)",No,N/A,"Electric Fireplace, HRV (Heat Recovery Ventilation), Central Vac Roughed In","Partially Fenced, Cleared, Landscaped","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer - Electric, Range - Electric, Refrigerator, Washer",N/A,N/A,Other,Re/max Nova,Yes,N/A,No
Subdistrict A (Bedford),"Amin Street, Bedford","77 Amin Street, Bedford, NS (NOVA SCOTIA)",77 Amin Street,https://www.viewpoint.ca/cutsheet/202524202/1/77-Amin-Street,202524202,"Welcome to 77 Amin St, a charming semi-detached home nestled in one of Bedford's most beloved family neighborhoods. This property boasts 3+1 bedrooms and 3.5 bathrooms, with wood flooring throughout all three levels. The open-concept main floor features a bright living room and dining room, a generously sized kitchen with quartz countertops, a breakfast nook, and direct access to the deck, along with a convenient powder room. On the second floor, a beautiful hardwood landing leads to a large master bedroom complete with an ensuite bathroom and a spacious closet. Two additional good-sized bedrooms share a main bathroom. The walkout basement offers a versatile bedroom/den with a full bathroom and a dedicated gym/exercise area with access to the backyard.  Recent upgrades include a new water heater (2024), three efficient heat pumps (2024), and fresh paint throughout. This well-maintained home seamlessly combines modern updates with a quiet and relaxing setting, providing both comfort and functionality.",2025-09-23,585900,77 Amin Street,Bedford,B4A 4B8,4,4,[],40672263,Single Family,Semi-Detached,"2 Level, 3 Level",34x21+bay,30,4,3 / 1,"1,428 sqft","2,142 sqft","2,620 sqft","2,620 sqft","$527,700 (2025)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Laminate, Hardwood, Vinyl","Baseboard, Heat Pump",N/A,N/A,"Electric, Oil",Municipal,Municipal,"No, None","Paved, Double",No,N/A,"Air Exchanger, Ensuite Bath, Balcony, HRV (Heat Recovery Ventilation)","Year Round road, Cleared, Sloping/Terraced, Wooded/Treed, Softwood Bush","Electrical, Cable, Telephone, High Speed Internet","Dryer, Oven, Range, Refrigerator, Washer",N/A,N/A,None,Exit Realty Metro,Yes,N/A,No
Subdistrict A (Bedford),"Bowsprit Close, Bedford","3 Bowsprit Close, Bedford, NS (NOVA SCOTIA)",3 Bowsprit Close,https://www.viewpoint.ca/cutsheet/202522250/1/3-Bowsprit-Close,202522250,"Welcome to this charming 2-bedroom, 1-bath bungalow nestled in one of Bedford’s desirable and quiet neighbourhoods- like a gated community without the gate! This home offers the perfect balance of privacy, comfort, and convenience—ideal for downsizers or anyone seeking a peaceful retreat close to it all.  Step inside and discover a bright, functional layout with cozy living spaces designed for everyday ease. Outside, you’ll fall in love with the beautifully landscaped Japanese gardens and a private backyard oasis—perfect for morning coffee, gardening, or simply unwinding after a long day.  Location is everything, and this property has it all: stroll to Papermill Lake for a swim or kayak adventure, enjoy nearby DeWolf Park and the scenic Bedford Basin, and look forward to the proposed new library and ferry to downtown Halifax just a short walk away. Shopping, dining, and every amenity you could need are only minutes from your doorstep. Recent upgrades include new front windows, new sliding patio door with built in blinds, custom Hunter Douglas Blinds, new aggregate driveway, hot water heater and heat pump! This special bungalow is more than a home—it’s a lifestyle.",2025-09-03,549500,3 Bowsprit Close,Bedford,B4A 4A3,2,1,[],40601270,Single Family,Detached,Bungalow,42 x 32,32,2,1 / 0,"1,254 sqft","1,254 sqft","3,600 sqft","3,600 sqft","$537,500 (2025)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Crawl Space,"Tile, Ceramic, Hardwood, Linoleum","Forced Air, Heat Pump, Fireplace",Yes,N/A,"Electric, Propane",Municipal,Municipal,"No, None","Exposed Aggregate, Double (double aggregate driveway)",No,N/A,"Air Exchanger, Propane Fireplace",Landscaped,"Electrical, Cable, Telephone, High Speed Internet","Compactor, Dryer - Electric, Microwave, Range - Gas, Refrigerator, Washer",all appliances and murphy bed. Note the bedframe in primary bedroom is attached to the wall and can stay if buyers choose.,N/A,Propane Tank,Royal Lepage Atlantic,Yes,N/A,No
Subdistrict A (Bedford),"Bradford Place, Bedford","20 Bradford Place, Bedford, NS (NOVA SCOTIA)",20 Bradford Place,https://www.viewpoint.ca/cutsheet/202518780/1/20-Bradford-Place,202518780,"Tucked away on a quiet street in the sought-after Parks of West Bedford, this stylish and thoughtfully designed home offers the perfect blend of urban convenience and natural serenity. This custom-designed home was built with comfort and functionality in mind.  Inside, you'll be welcomed by a spacious foyer leading into a bright and expansive great room — perfect for entertaining. The kitchen is beautifully appointed and features a coffee station nook and walk-in pantry, while the convenient main-floor laundry room makes daily living a breeze. The serene primary suite boasts large windows, a generous walk-in closet, and a luxurious 5-piece ensuite with double sinks, a glass walk-in shower, and a soaker tub. A second bedroom on the main level offers flexibility as a guest room, office, or den.  Downstairs, the walk-out lower level offers even more space to unwind or entertain, with a large rec room that leads to a private hot tub area. This level also includes two additional bedrooms, a full bath, a media/exercise room, and a utility/storage room.  Whether you're hosting friends, working from home, or simply relaxing after a day outdoors, 20 Bradford Place is a place you’ll be proud to call home.  Located just off Larry Uteck Boulevard, you’ll love being minutes from highway access, top-rated schools, grocery stores, pharmacies, restaurants, cafés, and professional services — all while being steps from the lake where you can launch your kayak and enjoy a peaceful paddle.",2025-07-25,938900,20 Bradford Place,Bedford,B4B 0R6,4,4,[],41404716,Single Family,Detached,Bungalow,54x36-J,5,4,3 / 1,"1,575 sqft","3,150 sqft","9,037 sqft","9,037 sqft","$924,600 (2025)",N/A,Asphalt Shingle,"Wood Siding, Brick, Vinyl",Poured Concrete,"Full, Fully Developed, Walkout","Ceramic, Laminate, Hardwood","Baseboard, Heat Pump",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in (double, built in)",driveway,No,N/A,"Ensuite Bath, Hot Tub, Fireplace(s)","Cleared, Landscaped","Electrical, Cable, Natural Gas, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer","Fridge, stove, washer, dryer, dishwasher",N/A,None,Re/max Nova (halifax),Yes,N/A,No
Subdistrict A (Bedford),"Bradford Place, Bedford","135 Bradford Place, Bedford, NS (NOVA SCOTIA)",135 Bradford Place,https://www.viewpoint.ca/cutsheet/202525640/1/135-Bradford-Place,202525640,"This magnificent, move-in ready bungalow is located on a quiet street within the highly sought after community of Waterberry Park where you are surrounded by green spaces and trails designed to promote physical activity and mental well-being. Stroll down to the shops and restaurants on Larry Uteck Blvd., or hop in the car for an easy 20-minute commute to downtown Halifax. Maintained with obvious pride this home shows like new and has been landscaped with beautiful trees, shrubs and perennials. With neutral décor in a new trending style the main level features a modern open concept living space with high quality fits and finishes. The kitchen offers an abundance of cabinetry and counter space including a large walk-in pantry for the storage of all your goodies and specialized appliances, dining and living room areas with natural hardwood flooring, patio doors leading to the upper deck with natural gas BBQ hookup, large primary bedroom with full ensuite bath featuring double sinks, glass and tile surround shower and a spacious walk-in closet, second good sized bedroom, second full bath, conveniently located laundry room, spacious front foyer and access to garage that is perfect for the secure storage of your vehicle, tools and/or toys. The lower level has an expansive open concept family to recreation room space with durable quality laminate flooring, third good sized bedroom with walk-in closet and convenient access to the third full bath, huge bonus room currently used as a gym that would be perfect for a home theater and/or large office, spacious utility room with a ton of room for storage and  a walkout to the lower level stone patio and fully fenced back yard. This energy efficient townhome also features a natural gas boiler and ductless heat pump, resulting in low-cost heating and cooling with on demand hot water. The storage shed, stainless-steel appliances and washer & dryer are included. With warm friendly neighbours, this home has it all. View it today!",2025-10-10,799900,135 Bradford Place,Bedford,B4B 0R7,3,3,[],41423682,Single Family,Townhouse,Townhouse,32 x 50 -Jogs,9,3,3 / 0,"1,330 sqft","2,724 sqft","4,105 sqft","4,105 sqft","$657,500 (2025)",N/A,Asphalt Shingle,"Stone, Wood Siding, Brick, Vinyl",Poured Concrete,"Full, Fully Developed, Walkout","Tile, Ceramic, Laminate, Hardwood","Baseboard, Radiant, Heat Pump, Hot Water, In Floor",N/A,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Single, Built-in, Heated, Wired (built-in single)","Block, Interlocking, Double",No,N/A,"Alarm System, Ensuite Bath, HRV (Heat Recovery Ventilation)","Landscaped, Level, Wooded/Treed","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Microwave Rng Hd Combo, Refrigerator, Stove, Washer",Appliances,N/A,None,Royal Lepage Anchor Realty,Yes,N/A,No
Subdistrict A (Bedford),"Bramwell Court, Bedford","65 Bramwell Court, Bedford, NS (NOVA SCOTIA)",65 Bramwell Court,https://www.viewpoint.ca/cutsheet/202522322/1/65-Bramwell-Court,202522322,"Welcome to 65 Bramwell Court in the feverishly popular Cascades Park of West Bedford.  This stunning 3+1 bedroom, 3.5 bathroom detached home is deceptively spacious at over 3,000 SQ FT on three levels, and it's nestled on a quiet cul-de-sac that backs onto a beautiful ravine and green space. This property offers the perfect balance of luxury and comfort with a spacious 1.5-car garage, walkout basement, and a treed backyard that features privacy and tranquility rare in the community.  The main floor boasts a grade-level, open-concept layout with gorgeous hardwood throughout (*there is no carpet in the home*), a convenient mudroom and powder room behind the garage, a natural gas fireplace with stunning millwork in the living room, and just look at the kitchen!  The on-trend white kitchen is a chef’s dream, offering additional cabinet space, an expansive island, stainless steel appliances, and a custom pantry for ample storage. Gorgeous light fixtures are found throughout the home, adding an elegant touch to every room. Upstairs, three spacious bedrooms await, including the stunning primary bedroom complete with a spa-like ensuite featuring a soaker tub and custom shower. The dedicated laundry room adds practicality and convenience, and the third bedroom features a compelling cathedral ceiling. The basement with a walkout offers a HUGE rec room as well as a 4th bedroom./ office, and a full bathroom. Fully ducted with a natural gas heat pump, this home ensures year-round comfort and efficiency. With its combination of modern upgrades and exceptional features, this property is truly a must-see!  Reach out to view this beautiful home in person, and take some extra time to explore the gorgeous community walking trails, the lake, and all the amenities West Bedford has to offer!  It's sure to impress!",2025-09-04,919900,65 Bramwell Court,Bedford,B4B 0W2,4,4,[],41427907,Single Family,Detached,2 Level,22.4 x 55.2,7,4,3 / 1,"2,163 sqft","3,012 sqft","4,486 sqft","4,484 sqft","$830,900 (2025)",N/A,Asphalt Shingle,"Stone, Wood Siding, Brick",Poured Concrete,"Fully Developed, Walkout","Ceramic, Hardwood","Heat Pump, Ducted Cooling",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Built-in, 1.5 (1.5, built-in)",Paved (paved),No,N/A,"Air Exchanger, Central Vacuum, Ensuite Bath, Balcony, Propane Fireplace","Landscaped, Level","Electrical, Cable, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer","Fridge, Stove, Dishwasher, Washer, Dryer, Central Vac",N/A,None,Royal Lepage Atlantic,Yes,N/A,No
Subdistrict A (Bedford),"Crownridge Drive, Bedford","43 Crownridge Drive, Bedford, NS (NOVA SCOTIA)",43 Crownridge Drive,https://www.viewpoint.ca/cutsheet/202514528/1/43-Crownridge-Drive,202514528,"Nestled in the prestigious parks of West Bedford this exceptional home is situated on a private cul-de-sac and boasts a south facing backyard that opens directly on to a lush forested greenbelt with a natural stream and scenic walking and running trails. Enjoy the peace and privacy of a family friendly street, the highly sought after Crown Ridge Drive. This expansive home offers over 4100 ft² of refined living space, including five generously sized bedrooms and 3 1/2 bathrooms, a fully finished walkout basement and a double built in garage.The thoughtful layout is complemented by oversized windows, abundant storage and high end finishes throughout. Hunter Douglas blinds, fully ducted heating and cooling, air exchanger, a radon control system, natural gas stove, range, dryer, and water heater. The natural gas also conveniently heats the salt water pool. You also find tucked beneath your weather projected upper deck your seven seater arctic spa hot tub. The fully fenced and landscaped yard offers direct greenbelt access through gates, perfect for active families and nature lovers. Whether you are preparing a meal in your chef's kitchen, relaxing in your spa like en-suite retreat, prepping for a night out in your walk in ensuite closet or enjoying a night in in your basement complete with built-in bar, projector, pool table and direct access to the backyard, you'll be sure to find ways to take in all the pleasures of 43 Crownridge Dr. This one of a kind property is also within walking distance to Bedford's newest school offering both luxury and convenience for families alike. Don't miss your chance to live on the greenbelt side of one of the most coveted cul-de-sacs in West Bedford!",2025-06-12,1399000,43 Crownridge Drive,Bedford,B4B 0X4,5,4,[],41440637,Single Family,Detached,"2 Level, 3 Level",49x40 + jog,7,5,3 / 1,"2,807 sqft","4,108 sqft","6,237 sqft","6,234 sqft","$1,229,900 (2025)",Potential,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Ceramic, Laminate, Hardwood","Heat Pump, Fireplace, Ducted Cooling",Yes,Yes,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in, Heated, Wired (double, built-in, heated)","Exposed Aggregate, Double",No,N/A,"Gas Stove(s), In-Ground Pool, Hot Tub, Fireplace(s), HRV (Heat Recovery Ventilation)","Landscaped, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Microwave, Range - Gas, Refrigerator, Washer",N/A,N/A,None,Keller Williams Select Realty,Yes,N/A,No
Subdistrict A (Bedford),"Crownridge Drive, Bedford","49 Crownridge Drive, Bedford, NS (NOVA SCOTIA)",49 Crownridge Drive,https://www.viewpoint.ca/cutsheet/202513284/1/49-Crownridge-Drive,202513284,"Inviting spaces abound with the perfect blend of modern upscale finishes & welcoming spaces to host family & friends both inside and out! The ""tall wall"" of expansive windows add character & immerse your space with light while overlooking your resort like back yard complete with in-ground salt water pool with waterfall, surrounded by sensational stone patio, hot tub, gas fireplace, gracious lawn area and backing to a lush greenbelt area providing immense privacy...yes your personal resort oasis awaits! Elegantly dressed with stone from floor to ceiling, the gas fireplace is surrounded by timeless chic black & white decor creating an elegant open concept space complete with custom wine display & storage that is sure to please! Expansive kitchen with fabulous island, gorgeous quartz counters, massive amounts of storage in both cabinets & the generous walk-in pantry, high quality stainless appliances & bar/serving station that conveniently adjoins into your dining space. Perfect for home theatre, taking in sports events or quiet nights snuggled in for your fav Netflix binge watching, the lower level great room space has it all! This level also offers an additional bedroom & full bath, gym space, storage & utilities. Perfectly positioned on the upper level, the opulent private primary suite is welcoming as it overlooks the back yard & boasts upscale en-suite bath with soaker tub & huge shower, double vanity & separate water closet...and a custom closet reminiscent of a fine Paris boutique with extensive storage!!! Spacious secondary bedrooms, upper level laundry, fabulous baths on each level, meticulously cared for throughout and presented with pride, this upscale property awaits the most discerning buyer and is perfectly timed to ensure you enjoy all the days of summer ahead as it is completely move-in ready for you! and BTW...it is perfectly located in the sought after ""Parks of West Bedford""  Don't miss your opportunity...this one is truly special!",2025-06-03,1598800,49 Crownridge Drive,West Bedford,B4B 0X4,5,4,[],41440629,Single Family,Detached,2 Level,39.8 x 55 (+/- jogs),6,5,3 / 1,"3,402 sqft","4,679 sqft","6,231 sqft","6,233 sqft","$1,270,200 (2025)",N/A,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Engineered Hardwood, Porcelain",Heat Pump,Yes,Yes,Natural Gas,Municipal,Municipal,"Yes, Attached, Heated (atttached, double, heated)",Double (double drive),No,N/A,"Alarm System, Ensuite Bath, In-Ground Pool, Hot Tub, Fireplace(s), HRV (Heat Recovery Ventilation)","Partially Fenced, Landscaped","Electrical, Telephone, Natural Gas, High Speed Internet",N/A,N/A,N/A,None,Keller Williams Select Realty,Yes,N/A,No
Subdistrict A (Bedford),"Fred Keyes Court, Bedford","29 Fred Keyes Court, Bedford, NS (NOVA SCOTIA)",29 Fred Keyes Court,https://www.viewpoint.ca/cutsheet/202522058/1/29-Fred-Keyes-Court,202522058,"An extraordinary residence nestled in one of Bedford’s most desirable area's. Offering a rare combination of luxury, location, and million-dollar panoramic views of the Bedford Basin. This fully updated 5 bedroom, 4 bathroom home has been reimagined from top to bottom with the highest attention to detail and craftsmanship. From the moment you enter, you’ll be greeted by rich natural light, warm modern tones, and a layout designed for comfort, flow, and elegance. The expansive main level offers a seamless transition from the airy living room, showcasing breathtaking water views—to the dining space perfect for gatherings, and into a designer custom kitchen that is truly one of a kind. Here, you’ll find sleek stone countertops, premium stainless steel appliances, custom soft-close cabinetry, a full-height backsplash, under-cabinet lighting, ideal for casual meals or entertaining. Upstairs, four sizeable bedrooms await, including the second bathroom with double vanity and a show stopping primary suite that features a walk-in closet and a spa-like 5-piece ensuite complete with a soaker jacuzzi tub, and a tiled walk-in shower. Two of the upper bedrooms provide direct access to the upper-level balcony where you can unwind while taking in the sweeping views of the water and skyline. The lower level adds exceptional versatility, offering a self-contained in-law suite with its own side entrance, full bath, bedroom space, living space, and kitchenette—ideal for extended family or rental income. Additional highlights include beautifully updated bathrooms throughout, luxury fixtures, energy-efficient lighting, and an upgraded HVAC system for year-round comfort. Outside, the landscaped and fully fenced backyard offers peace, privacy, and plenty of room to relax or entertain. The attached single car garage adds convenience, and the location can’t be beat. Just minutes to top-rated schools, papermilll lake waterfront park, shops and restaurants. This property is the total package.",2025-09-02,749000,29 Fred Keyes Court,Bedford,B4A 4B6,5,4,[],40695918,Single Family,Detached,2 Level,36.5x38.5x21.5x14x10.5x24.5,30,5,3 / 1,"1,818 sqft","2,521 sqft","5,802 sqft","5,802 sqft","$620,500 (2025)",Potential,Asphalt Shingle,Vinyl,Poured Concrete,"Fully Developed, Walkout","Tile, Laminate, Hardwood","Forced Air, Heat Pump, Fireplace",Yes,N/A,"Electric, Oil",Municipal,Municipal,"Yes, Attached, Single, Heated, Wired (21.4 x 13 loft - 13.4 x 10.3 x 4.9 ( height).)",Paved,No,"View: Bay, View: Harbour","Secondary Suite, Ensuite Bath, Balcony, Electric Fireplace","Landscaped, Fenced","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer",N/A,N/A,None,Exit Real Estate Professionals,Yes,N/A,No
Subdistrict A (Bedford),"Innsbrook Way, Bedford","52 Innsbrook Way, Bedford, NS (NOVA SCOTIA)",52 Innsbrook Way,https://www.viewpoint.ca/cutsheet/202524658/1/52-Innsbrook-Way,202524658,"Meticulously maintained family home features 4 bedroom 3.5 bathroom home with over 3200 sq. ft. of luxury living space in the heart of Cascades Park within the Parks of West Bedford. This lovingly maintained family home includes 4 bedrooms, + 3 full bathrooms and convenient main floor powder room with an open-concept layout effortlessly connects the dining, kitchen, and two living areas, providing an ideal space for entertaining as well as simply great living space. The spacious kitchen, is both practical and stylish, featuring a natural gas cooking range and a full butler pantry with butler's sink, tons of extra storage and prep area. The second level includes 3 generously sized bedrooms, the primary bedroom includes a large ensuite with heated floor for optimal comfort, his/her sinks, soaker tub, custom tiled shower, and a walk-in closet. Finished basement includes a 4th bedroom, spacious rec-room and 3rd full bathroom, great space for out of town guests or older child.",2025-09-30,969900,52 Innsbrook Way,Bedford,B4B 0X6,4,4,[],41440801,Single Family,Detached,2 Level,28' x 45',6,4,3 / 1,"2,296 sqft","3,321 sqft","4,990 sqft","4,990 sqft","$958,600 (2025)",No,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Tile, Laminate, Hardwood","Heat Pump, Fireplace, Ducted Cooling",Yes,N/A,Natural Gas,Municipal,Municipal,"Yes, Built-in, 1.5, Heated (built in)","Exposed Aggregate, Concrete, Double",No,N/A,"Air Exchanger, Ensuite Bath, Fireplace(s)","Landscaped, Level","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Range - Gas, Refrigerator, Washer",Appliances,N/A,None,Sutton Group Professional Realty,Yes,N/A,No
