subdistrict_name,street_name,property_name,name,url,listing_id,description,date_posted,price,street_address,adress_locality,postal_code,rooms,bathrooms,listing_history,pid,type,style,building_style,building_dimensions,age,beds,bathrooms_f_h,main_living_area,total_living_area,listing_parcel_size,prov_parcel_size,assessed_at,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances_incl,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned,pid_s
Subdistrict A (Bedford),"Binnacle Court, Bedford","3 Binnacle Court, Bedford, NS (NOVA SCOTIA)",3 Binnacle Court,https://www.viewpoint.ca/cutsheet/202601613/1/3-Binnacle-Court-Bedford,202601613,"Proudly offered by the original owner, this bright and spacious home offers approximately 2,598 sq. ft. of well-designed living space, ideal for growing families, multi-generational living, or future income potential.  A versatile, light-filled home with space, comfort, and located on a quiet cul-de-sac with parking for multiple cars. The main floor features generously sized rooms, including a large living room with a custom built-in oak wall unit and a convenient half bath. The kitchen is open-concept to an extra-large dining area, perfect for hosting family gatherings and celebrations, and includes an extra-large pantry for added storage. Patio door lead to a private backyard and deck, creating a seamless indoor-outdoor flow. A bonus 5' x 9'6"" room offers flexible use as a prayer room, quiet office, or additional storage. The home is filled with natural light throughout and features mostly new lighting. Upstairs, you’ll find three spacious bedrooms, including a generous primary suite with two walk-in closets—one exceptionally large. The updated 5-piece ensuite includes a stand-up shower.  The other two bedrooms are accompanied by a large main bathroom and updated mirrors. The lower level provides excellent potential for an in-law suite or rental unit (with minor adjustments). This level includes a full bathroom, laundry area, bedroom, movie room or living space, bar area, and separate, offering both privacy and convenience. Located in a highly desirable family community popular with professionals, this home offers easy access to Halifax, excellent schools, modern amenities, and a beautiful lifestyle with nearby lakes, walking paths, waterfronts, and parks. Some flooring was intentionally not replaced, allowing buyers the opportunity to personalize the space to their taste.",2026-01-28,648600,3 Binnacle Court,Bedford,B4A 4A3,4,4,[],40735649,Single Family,Detached,2 Level,28x32,28,4,3 / 1,"1,792 sqft","2,598 sqft","3,435 sqft","3,435 sqft","$614,000 (2026)",N/A,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Carpet, Laminate","Baseboard, Hot Water",N/A,N/A,Oil,Municipal,Municipal,"No, None","Paved, Parking Space(s) (triple car parking driveway)",No,N/A,"HRV (Heat Recovery Ventilation), Central Vac Roughed In","Wooded/Treed, Partial Landscaped","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer - Electric, Refrigerator, Stove, Washer","Fridge, stove, washer, dryer, dishwasher",N/A,None,Re/max Nova,Yes,N/A,No,
Subdistrict A (Bedford),"Forest Lane, Bedford","21 Forest Lane, Bedford, NS (NOVA SCOTIA)",21 Forest Lane,https://www.viewpoint.ca/cutsheet/202602246/1/21-Forest-Lane-Bedford,202602246,"Nestled on a quiet, upscale cul-de-sac, this immaculate four-bedroom, two-storey home with an attached garage is a true standout. The landscaping has been carefully curated, setting the stage for the incredible outdoor living space. A custom-built deck extends your living area, complete with a gazebo-covered hot tub and a dedicated dining zone—perfect for relaxing or entertaining.  Inside, the home offers a warm, refined atmosphere with timeless design and high-end craftsmanship throughout. The family room, dining area, and kitchen flow together in an inviting open-concept layout. The gourmet kitchen, crafted by Genuine Kitchens, features antique white Thermofoil cabinetry with walnut hardware, eye-catching granite countertops, and beautiful hardwood floors.  A spacious front foyer leads to a private home office—ideal for modern work-from-home lifestyles. A powder room and direct access to the deck complete the main level.  Upstairs are four generous bedrooms with excellent closet space. The primary suite includes a walk-in closet, a luxurious ensuite, and access to a private upper deck with a spiral staircase leading down to the hot tub and fire pit area.  The lower level adds even more living space, featuring a cozy media room, a two-piece bath, and an impressive redwood wine cellar for the true connoisseur.  Lovingly maintained with exceptional care and attention over the years, this home is truly move-in ready. All located within walking distance of Paper Mill Lake, beach access, schools, shops, and more. Your new home awaits!",2026-02-06,1175000,21 Forest Lane,Bedford,B4A 1H8,4,4,[],00418582,Single Family,Detached,2 Level,47x40-J,N/A,4,2 / 2,"3,035 sqft","3,035 sqft","12,600 sqft","12,600 sqft","$806,600 (2026)",N/A,Asphalt Shingle,N/A,Poured Concrete,Partially Developed,"Ceramic, Hardwood","Baseboard, Heat Pump, Ductless Cooling",N/A,N/A,"Electric, Propane",Municipal,Municipal,"Yes, Attached, Single (single attached)",N/A,No,N/A,N/A,N/A,"Electrical, Cable, Telephone, High Speed Internet",N/A,N/A,N/A,Propane Tank,Viewpoint Realty Services Inc.,No,N/A,No,
Subdistrict A (Bedford),"Innsbrook Way, Bedford","52 Innsbrook Way, Bedford, NS (NOVA SCOTIA)",52 Innsbrook Way,https://www.viewpoint.ca/cutsheet/202524658/1/52-Innsbrook-Way-Bedford,202524658,"Meticulously maintained family home features 4 bedroom 3.5 bathroom home with over 3200 sq. ft. of luxury living space in the heart of Cascades Park within the Parks of West Bedford. This lovingly maintained family home includes 4 bedrooms, + 3 full bathrooms and convenient main floor powder room with an open-concept layout effortlessly connects the dining, kitchen, and two living areas, providing an ideal space for entertaining as well as simply great living space. The spacious kitchen, is both practical and stylish, featuring a natural gas cooking range and a full butler pantry with butler's sink, tons of extra storage and prep area. The second level includes 3 generously sized bedrooms, the primary bedroom includes a large ensuite with heated floor for optimal comfort, his/her sinks, soaker tub, custom tiled shower, and a walk-in closet. Finished basement includes a 4th bedroom, spacious rec-room and 3rd full bathroom, great space for out of town guests or older child.",2025-09-30,969900,52 Innsbrook Way,Bedford,B4B 0X6,4,4,[],41440801,Single Family,Detached,2 Level,28' x 45',6,4,3 / 1,"2,296 sqft","3,321 sqft","4,990 sqft","4,990 sqft","$998,400 (2026)",No,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Tile, Laminate, Hardwood","Heat Pump, Fireplace, Ducted Cooling",Yes,N/A,Natural Gas,Municipal,Municipal,"Yes, Built-in, 1.5, Heated (built in)","Exposed Aggregate, Concrete, Double",No,N/A,"Air Exchanger, Ensuite Bath, Fireplace(s)","Landscaped, Level","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Range - Gas, Refrigerator, Washer",Appliances,N/A,None,Sutton Group Professional Realty,Yes,N/A,No,
Subdistrict A (Bedford),"Innsbrook Way, Bedford","128 Innsbrook Way, Bedford, NS (NOVA SCOTIA)",128 Innsbrook Way,https://www.viewpoint.ca/cutsheet/202525060/1/128-Innsbrook-Way-Bedford,202525060,"Welcome to 128 Innsbrook Way, West Bedford. This exquisite 4-bedroom, 3.5-bath home blends modern design with timeless comfort in one of the area's most sought-after communities. Bright and inviting, the open-concept layout is perfect for both entertaining and everyday family living.  At the heart of the home is a spacious chef's kitchen featuring high-end finishes, ample storage, and a large island designed for gathering. Unwind by the cozy gas fireplace in the living room, or step outside to the back deck overlooking peaceful greenspace and walking trails. You can also retreat to the private back patio and soak in the hot tub for the ultimate relaxation.  Upstairs, discover generously sized bedrooms with large closets, including a luxurious primary suite with a walk-in closet featuring custom shelving and a spa-like ensuite bathroom. The fully finished lower level offers a versatile family room equipped with a built-in audio and speaker system, ideal for movie nights or entertaining guests.  Tucked away on a quaint cul-de-sac, this home offers the best of both worlds: a quiet, family-friendly setting while being only minutes from schools, parks, and all of West Bedfords amenities. Meticulously cared for and move-in ready, 128 Innsbrook Way is a home you won't want to miss.",2025-10-03,1279000,128 Innsbrook Way,Bedford,B4B 0X8,4,4,[],41440918,Single Family,Detached,2.5 Level,47 x 35x23.1x2x23.9x32,7,4,3 / 1,"2,384 sqft","3,912 sqft","8,213 sqft","8,213 sqft","$1,142,400 (2026)",N/A,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,Fully Developed,"Engineered Hardwood, Concrete, Marble, Tile, Vinyl","Heat Pump, Ducted Cooling",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Double, Heated, Wired (attached, wired, heated, two car garage)","Block, Double (double parking)",No,N/A,"Air Exchanger, Alarm System, Hot Tub, Fireplace(s), HRV (Heat Recovery Ventilation)","Cleared, Landscaped","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dryer - Electric, Garburator, Refrigerator, Stove, Washer","Fridge, Stove, Dishwasher, Washer, Dryer, Hot Tub",N/A,None,Exit Realty Town & Country,Yes,N/A,No,
Subdistrict A (Bedford),"Kaytyon Court, Bedford","10 Kaytyon Court, Bedford, NS (NOVA SCOTIA)",10 Kaytyon Court,https://www.viewpoint.ca/cutsheet/202602408/1/10-Kaytyon-Court-Bedford,202602408,"Welcome to 10 Kaytyon Court, Bedford—a well-maintained three-level semi-detached home tucked away on a quiet, family-friendly cul-de-sac in one of Bedford’s most desirable neighbourhoods. With 3 bedrooms and 2.5 bathrooms, this property is an excellent choice for growing families or first-time buyers, just a short walk to Bedford South Elementary School and within the sought-after Charles P. Allen / West Bedford High School catchment, with nearby French options including École Beaubassin and École secondaire du Sommet. The main level features a bright, open-concept living room and eat-in kitchen, ideal for both everyday living and entertaining. The kitchen offers warm oak cabinetry, a centre island, and walk-out access to a private deck overlooking the landscaped backyard—perfect for summer barbecues or relaxing outdoors. A convenient half bath completes this level. Upstairs, you’ll find a spacious primary bedroom with a walk-in closet and private access to the 4-piece main bathroom, along with two additional well-sized bedrooms. The fully finished basement adds valuable living space, featuring a large rec room, a 3-piece bathroom with laundry, and a separate storage and utility area. Ideally located in the sought-after Millview Subdivision of Bedford, this home offers exceptional walkability and commuter convenience—just a five minute walk to Nine Mile Drive Park, and within a ten minute walk to groceries, pharmacies, restaurants, and even two yoga studios. Highway access is a breeze with the Larry Uteck exit only three minutes away, and shopping at Bedford Commons or Bayers Lake just a ten minute drive. Move-in ready and perfectly located—this is a fantastic opportunity you won’t want to miss.",2026-02-09,515000,10 Kaytyon Court,Bedford,B4A 4H4,3,3,[],40779696,Single Family,Semi-Detached,3 Level,"31'5""x19'10""+BAY",25,3,2 / 1,"1,288 sqft","1,288 sqft","3,359 sqft","3,359 sqft","$498,100 (2026)",Unknown,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Full, Fully Developed","Concrete, Tile, Carpet, Laminate, Hardwood, Linoleum",Forced Air,N/A,N/A,Oil,Municipal,Municipal,"No, None","Paved, Double (double paved driveway)",No,N/A,Air Exchanger,"Year Round road, Landscaped, Sloping/Terraced","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Freezer - Stand Up, Refrigerator, Stove, Washer","Fridge, Stove, Dishwasher, Stand up Freezer, Washer & Dryer",N/A,None,Royal Lepage Atlantic (greenwood),Yes,N/A,No,
Subdistrict A (Bedford),"Oceanview Drive, Bedford","91 Oceanview Drive, Bedford, NS (NOVA SCOTIA)",91 Oceanview Drive,https://www.viewpoint.ca/cutsheet/202522689/1/91-Oceanview-Drive-Bedford,202522689,"Welcome to 91 Oceanview Drive in sought-after Bedford South! This beautiful 5-bedroom, 3.5-bath home offers the perfect balance of comfort, convenience, and community. You have quick access to grocery stores, restaurants, fitness centers, and top-rated schools, while also enjoying the peace and privacy of backing onto a greenbelt and being steps away from Oceanview and Nine Mile Drive Park. The main level features a bright large living space, dining area, lovely kitchen and a half washroom, direct access to the back deck and yard. Upstairs, the spacious primary bedroom includes a walk-in closet and a large ensuite bath, while two additional bedrooms and a full bath complete the upper level. The finished basement provides two additional rooms, full washroom and a laundry area. Excellent location that offers both nature and city convenience!",2025-09-08,599000,91 Oceanview Drive,Bedford,B4A 4H5,5,4,[],40671281,Single Family,Detached,2 Level,38 x 24,30,5,3 / 1,"1,588 sqft","2,372 sqft","3,454 sqft","3,454 sqft","$571,000 (2026)",N/A,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Fully Developed,"Engineered Hardwood, Tile, Laminate",Baseboard,N/A,N/A,"Electric, Oil",Municipal,Municipal,"No, None",Paved,No,N/A,Air Exchanger,Cleared,"Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Freezer - Chest, Refrigerator, Stove, Washer",N/A,N/A,None,Re/max Nova (windsor),Yes,N/A,No,
Subdistrict A (Bedford),"Serotina Lane, Bedford","9 Serotina Lane, Bedford, NS (NOVA SCOTIA)",9 Serotina Lane,https://www.viewpoint.ca/cutsheet/202601380/1/9-Serotina-Lane-Bedford,202601380,"Located on a quiet cul-de-sac in The Parks of West Bedford, this beautifully maintained east west facing 8-year-old home shows like new and offers over 2,700 sq. ft. of finished living space with 4 bedrooms and 4 bathrooms.  The home has been freshly painted throughout, including all trim, and features a new kitchen with appliances in excellent condition and a Walk in Pantry. Designed for modern living, the main level offers a bright, open-concept layout with extra-large windows that flood the space with natural light. The home is equipped with a ducted heat pump, natural gas heating, and a gas stove for comfort and efficiency year-round.  Upstairs, the bedrooms are generously sized, including a spacious primary suite with a beautiful ensuite bathroom.  The walkout basement adds exceptional flexibility, featuring a large bedroom and rough-in plumbing for a wet bar or kitchenette, making it ideal for in-law accommodations or future rental potential.  Additional highlights include a wide driveway, an EV plug ready for an electric vehicle charger in the garage, Full house width deck with glass railings and excellent curb appeal.  The property is zoned for some of the area’s most sought-after schools, including West Bedford School (elementary to high school) and C.P. Allen High School, with French options at École du Sommet and École Beaubassin. Conveniently located within walking distance to plazas, shops, and everyday amenities.  A move-in-ready home in a prime West Bedford location—this property offers space, comfort, and long-term value.",2026-01-23,849900,9 Serotina Lane,Bedford,B4P 0P1,4,4,[],41458829,Single Family,Detached,2 Level,22x50,8,4,3 / 1,"1,895 sqft","2,713 sqft","7,336 sqft","7,336 sqft","$864,000 (2026)",Potential,Asphalt Shingle,"Other, Brick, Vinyl",Poured Concrete,"Full, Fully Developed, Walkout","Concrete, Laminate, Hardwood",Heat Pump,Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Single (built in - single)","Interlocking, Concrete",No,N/A,"Gas Stove(s), Air Exchanger, Ensuite Bath, Balcony, Fireplace(s)","Cleared, Landscaped","Electrical, Cable, Natural Gas, High Speed Internet, Other","Dishwasher, Dryer, Microwave, Oven, Refrigerator, Stove, Washer",All Appliances,N/A,None,Re/max Nova,Yes,N/A,No,
Subdistrict F (Bedford),"Millview Avenue, Bedford","11 Millview Avenue, Bedford, NS (NOVA SCOTIA)",11 Millview Avenue,https://www.viewpoint.ca/cutsheet/202528816/1/11-Millview-Avenue-Bedford,202528816,"Welcome to 11 Millview Avenue in sought-after Bedford! This meticulously maintained two-storey home is proudly hitting the market for the very first time. Situated on a private, beautifully treed 13,200 sq. ft. corner lot, this property offers privacy, plenty of parking, and the exciting possibility of subdividing the lot (buyer to verify). With five spacious bedrooms and 4.5 bathrooms, this home provides exceptional space and flexibility for growing families or multi-generational living. The ground level features a self-contained one-bedroom suite with its own entrance—ideal for in-laws & guests. Inside, you’ll find a warm and welcoming open-concept main floor with cathedral ceilings in the living room, a cozy wood-burning fireplace, and beautiful hardwood floors. The kitchen is a chef’s delight, featuring rich cherry wood cabinetry, a walk-in pantry, a large island and plenty of counterspace. French doors lead to a designated dining room, perfect for entertaining. The main floor also hosts a convenient laundry room, a two-piece bathroom, and a spacious primary suite complete with his-and-hers closets and a luxurious 5-piece ensuite. Upstairs, you’ll find three generously sized bedrooms connected by two back-to-back 4-piece bathrooms, all overlooking the bright main living space below. Additional features include a built-in double garage and two ductless heat pumps for efficient year-round comfort. Don’t miss this rare opportunity to own a unique and spacious home in a prime Bedford location!",2025-12-01,899900,11 Millview Avenue,Bedford,B4A 1G8,5,5,[],00430413,Single Family,Detached,2 Level,41.3 x40.3 +/- J Irreg,24,5,4 / 1,"2,757 sqft","3,636 sqft","13,200 sqft","13,200 sqft","$812,400 (2026)",Potential,Asphalt Shingle,Vinyl,Poured Concrete,"Full, Walkout","Tile, Hardwood",Heat Pump,Yes,N/A,Electric,Municipal,Municipal,"Yes, Double, Built-in (2 car built in garage)","Paved, Double (paved driveway with space for 4 parked cars)",No,N/A,"Ensuite Bath, Fireplace(s)","Partially Fenced, Wooded/Treed, Partial Landscaped","Electrical, Cable, Telephone, High Speed Internet","Dryer, Refrigerator, Stove, Washer",N/A,N/A,"Heat Pumps, Water Heater",Century 21 Trident Realty Ltd.,Yes,N/A,No,
Subdistrict F (Bedford),"Millview Avenue, Bedford","26 Millview Avenue, Bedford, NS (NOVA SCOTIA)",26 Millview Avenue,https://www.viewpoint.ca/cutsheet/202600829/1/26-Millview-Avenue-Bedford,202600829,"Welcome home to 26 Millview Avenue, located in the heart of Bedford!  This well maintained four bedroom, three bath two story home with a double garage will impress you from the moment you arrive.  With a U shaped driveway on a large private lot, the property is close to shopping, main highways, and walking distance to nature trails and a beach!  The stunning kitchen has granite countertops and access to a deck and the large back yard.  The main floor also features a large family room with fireplace, dining area, laundry room and a two piece bathroom.  The second level contains four bedrooms, including the Primary bedroom that contains a five piece ensuite.  This level also has a large second bathroom.  The basement is totally finished and offers very flexible space with its openness.  This home has over 3000 square feet of living space.  Upgrades in recent years include new roofing shingles, hot water tank and a window and some doors in 2021, and since 2024, the basement was insulated, the kitchen significantly upgraded, new appliances, a new heat pump installed, some new windows, total bathroom renovations, new gleaming flooring, refreshed paint throughout, new stairs and additional basement renovations.  To appreciate the upgrades, please book a showing to view this incredible gem of a property.",2026-01-15,795000,26 Millview Avenue,Bedford,B4A 1G7,4,3,[],00430462,Single Family,Detached,2 Level,50.6 x 31.3,40,4,2 / 1,"2,299 sqft","3,277 sqft","13,901 sqft","13,901 sqft","$704,000 (2026)",N/A,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Laminate, Hardwood","Baseboard, Heat Pump",N/A,N/A,Electric,Municipal,Municipal,"Yes, Attached, Double (attached double)","Paved, Circular",No,N/A,N/A,Landscaped,"Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer - Electric, Range - Electric, Refrigerator, Washer",N/A,N/A,None,Verve Realty Group,Yes,N/A,No,
Subdistrict F (Bedford),"Ravines Drive, Bedford","153 RAVINES Drive, Bedford, NS (NOVA SCOTIA)",153 Ravines Drive,https://www.viewpoint.ca/cutsheet/202526556/1/153-Ravines-Drive-Bedford,202526556,"Beautiful home in one of Halifax’s Most Sought-After Neighbourhoods and School Districts.It’s rare to find a house in this area that combines timeless curb appeal with a completely renovated interior.This elegant 5-bedroom 4.5-bathroom property has been extensively updated to offer a fresh, modern living experience. The upgrades include new engineered hardwood flooring, designer ceramic tiles, solid wood staircase, a brand-new kitchen with quartz countertops, a refreshed powder room, and a renovated main bath on the second level. The entire house has been freshly painted. The deck and most of the lighting fixtures have been updated.The walk-out basement opens to a fenced backyard, and the property line actually extends beyond the existing fence. Solar panels on the roof make this home energy-efficient and help reduce your daily living costs.  Conveniently located close to shopping, schools, parks, and public transit, this move-in-ready home offers the perfect blend of comfort, style, and practicality.",2025-10-24,1200000,153 Ravines Drive,Bedford,B4A 0A4,5,5,[],41251323,Single Family,Detached,2 Level,40 x 43,17,5,4 / 1,"2,511 sqft","3,789 sqft","7,199 sqft","7,199 sqft","$916,900 (2026)",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Tile, Laminate, Hardwood",Heat Pump,Yes,N/A,"Solar, Electric",Municipal,Municipal,"Yes, Detached, Double, Heated (double, heated)","Exposed Aggregate, Double",No,N/A,"Air Exchanger, Central Vacuum, Ensuite Bath, Air Jet Tub, Propane Fireplace, HRV (Heat Recovery Ventilation)","Year Round road, Landscaped, Fenced, Wooded/Treed","Electrical, Cable, Telephone, High Speed Internet","Dryer, Refrigerator, Stove, Washer","stove,fridge,dishwasher,washer,dryer",N/A,Other,Royal Lepage Atlantic,No,N/A,No,
