name,url,listing_id,description,date_posted,price,street_address,adress_locality,postal_code,rooms,bathrooms,listing_history,pid,type,style,building_style,building_dimensions,age,beds,bathrooms_f_h,main_living_area,total_living_area,listing_parcel_size,prov_parcel_size,assessed_at,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances_incl,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned
50 Glissade Court,https://www.viewpoint.ca/cutsheet/202422079/1/50-Glissade-Court,202422079,"This stunning custom-built home offers a perfect blend of elegance and functionality. Nestled in a quiet cul-de-sac in Brookline Park, the property features a thoughtfully designed floor plan with beautiful finishes throughout. The main level is designed for entertaining, featuring a bright and airy open concept layout. The well-appointed kitchen includes a separate prep kitchen and a walk-in pantry, making meal preparation a breeze. The adjacent large dining area and living room, complete with a natural gas fireplace, create a welcoming space for gatherings. A convenient mudroom off the entrance to the double-car garage, a powder room, and an office space add to the practicality of this level. Upstairs, you’ll find a cozy loft area, a luxurious master suite with a custom walk-in closet and a beautifully designed ensuite bathroom. There are also three additional bedrooms, a full bathroom with heated floors, and a laundry room for added convenience. The lower level is equally impressive with a spacious family room featuring a wet bar and a walkout to the backyard. This level includes a fourth bedroom, a full bathroom with heated floors, and a versatile room that can serve as a gym or an additional bedroom for extended family. This gorgeous home is full of thoughtful details and is a must-see to truly appreciate all it has to offer.",2024-09-12,1599000,50 Glissade Court,Bedford,B4B 2K5,5,4,"[{'status': 'Sold', 'start_date': 'Sep 12, 2024', 'end_date': 'Oct 16, 2024', 'list_price': '$1,599,000', 'sold_price': '$1,499,000', 'duration': '34 days', 'changes': ['Oct 1, 2024\nStatus change from For Sale to Pending', 'Oct 17, 2024\nStatus change from Pending to Sold']}, {'status': 'Expired', 'start_date': 'Feb 9, 2024', 'end_date': 'Jul 1, 2024', 'list_price': '$1,650,000', 'sold_price': '', 'duration': '143 days', 'changes': ['Jun 3, 2024\nPrice change from $1,675,000 to $1,650,000', 'Jul 1, 2024\nStatus change from For Sale to Expired']}, {'status': 'Sold', 'start_date': 'May 11, 2023', 'end_date': 'Jun 12, 2023', 'list_price': '$1,599,000', 'sold_price': '$1,599,000', 'duration': '32 days', 'changes': ['May 30, 2023\nStatus change from For Sale to Pending', 'Jun 12, 2023\nStatus change from Pending to Sold']}]",41507641,Single Family,Detached,2 Level,49.6 x 46.4,1,5,3 / 1,"3,448 sqft","4,995 sqft","17,534 sqft","17,544 sqft","$1,446,600 (2025)",N/A,Asphalt Shingle,"Stucco, Vinyl",Poured Concrete,"Fully Developed, Walkout","Engineered Hardwood, Ceramic, Laminate","Heat Pump, In Floor",N/A,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in (built-in, double car garage)",Interlocking,No,N/A,"Central Vacuum, Ensuite Bath, HRV (Heat Recovery Ventilation)",Landscaped,"Electrical, Cable, Natural Gas, High Speed Internet",N/A,N/A,N/A,None,Royal Lepage Atlantic,Yes,N/A,No
50 Glissade Court,https://www.viewpoint.ca/cutsheet/202402498/1/50-Glissade-Court,202402498,"BE PREPARED TO EXPERIENCE THE ULTIMATE CRAFTSMANSHIP AND DETAILED DESIGN OF THIS CUSTOM LUXURY HOME! So much thought has gone into the quality of the detail, finishes, energy efficiency and convenience of lifestyle for any family. The spacious main entrance is artfully done in shiplap. The main level offers the ultimate living area with a “Chefs” kitchen, gas range, quartz counters, a Butler’s pantry with a prep area plus an adjoining pantry for appliance and supply storage. Enjoy the serene view while you work in your culinary haven. Entertaining will be a pleasure in the bright, spacious dining and great room areas lit with a wall of windows. Entering from the double garage your mudroom area offers a powder room, double closets and a built-in bench. The second floor “wow’ factor is the loft at the top of the stairs – what a place to quietly relax! This level features a spacious “Principle” suite, well designed walk- in closet and lovely ensuite bath with gorgeous tile choices. Three additional bedrooms, 4 pc bath and well-appointed laundry room complete this level. The walk out lower level as well has that extended family space – large family room (w/wet bar area), home office (5th Bdrm), gym, 4pc bath, and 2 large storage areas. For summer living you will enjoy the large concrete patio just outside the patio doors from this level. West Bedford offers an array of amenities including parks, playgrounds, shopping centres and excellent schools. Call today for your appointment and begin living that new well-rounded lifestyle.",2024-02-09,1650000,50 Glissade Court,Bedford,B4B 2K5,5,4,"[{'status': 'Sold', 'start_date': 'Sep 12, 2024', 'end_date': 'Oct 16, 2024', 'list_price': '$1,599,000', 'sold_price': '$1,499,000', 'duration': '34 days', 'changes': ['Oct 1, 2024\nStatus change from For Sale to Pending', 'Oct 17, 2024\nStatus change from Pending to Sold']}, {'status': 'Expired', 'start_date': 'Feb 9, 2024', 'end_date': 'Jul 1, 2024', 'list_price': '$1,650,000', 'sold_price': '', 'duration': '143 days', 'changes': ['Jun 3, 2024\nPrice change from $1,675,000 to $1,650,000', 'Jul 1, 2024\nStatus change from For Sale to Expired']}, {'status': 'Sold', 'start_date': 'May 11, 2023', 'end_date': 'Jun 12, 2023', 'list_price': '$1,599,000', 'sold_price': '$1,599,000', 'duration': '32 days', 'changes': ['May 30, 2023\nStatus change from For Sale to Pending', 'Jun 12, 2023\nStatus change from Pending to Sold']}]",41507641,Single Family,Detached,2 Level,46.4 x 46,1,5,3 / 1,"3,384 sqft","4,975 sqft","17,534 sqft","17,544 sqft","$1,446,600 (2025)",N/A,Asphalt Shingle,"Stucco, Vinyl",Poured Concrete,"Full, Fully Developed, Walkout","Engineered Hardwood, Tile, Laminate, Porcelain","Baseboard, Heat Pump",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Double, Heated, Wired (att. double heated)","Interlocking, Double (double driveway)",No,N/A,"Air Exchanger, Alarm System, Central Vacuum, Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation)","Cleared, Landscaped, Level, Sloping/Terraced","Electrical, Cable, Telephone, High Speed Internet","Central Vacuum, Dishwasher, Dryer - Electric, Microwave, Range - Gas, Refrigerator, Washer, Wine Fridge","all appliances, central vac, alarm system",N/A,None,Royal Lepage Atlantic,Yes,N/A,No
72 Element Court,https://www.viewpoint.ca/cutsheet/202421623/1/72-Element-Court,202421623,"Welcome to 72 Element Court, a stunning new construction home in Brookline Park, West Bedford’s premier community. This exquisite residence blends elegance and luxury, creating a timeless, inviting atmosphere ideal for families and professionals alike. From its stunning curb appeal and professionally landscaped yard to the interior's sophisticated finishes, every detail exudes modern luxury. As you enter, you’re greeted by a grand entrance with soaring 18-foot ceilings and a captivating hardwood staircase. The heart of the home is the expansive open-concept kitchen, living, and dining area. The kitchen stands out with warm, moody tones, a large working island, quartz countertops, high-end appliances, and a well-sized pantry. Large windows drench the space with natural light, and the living area is anchored by a natural gas fireplace, adding warmth and elegance. A spacious office complements the main floor, ideal for remote work, while the powder room and mudroom, with built-in lockers and two closets, provides practical amenities. Upstairs, the indulgent primary suite features a spa-like ensuite with in-floor heating and a custom walk-in closet. This level also includes three additional bedrooms, a large, well-appointed laundry room, and a second luxurious ensuite, offering convenience and comfort for guests or family members. The fully finished walk-out basement provides ample storage and versatile space, including an additional bedroom and bathroom, and a spacious rec room with a wet bar—perfect for entertaining or accommodating guests. Modern upgrades include two fully ducted heat pumps, smart home wiring, and a natural gas backup heat system, to name a few. Enjoy direct access to scenic trails and the greenbelt, ideal for outdoor enthusiasts. Located in a coveted school district with numerous local amenities, the home redefines luxurious living in a connected yet relaxed community. Don’t miss your chance to make this extraordinary home yours!",2024-09-06,1699000,72 Element Court,Bedford,B4B 2K3,5,5,"[{'status': 'Sold', 'start_date': 'Sep 6, 2024', 'end_date': 'Sep 21, 2024', 'list_price': '$1,699,000', 'sold_price': '$1,699,000', 'duration': '15 days', 'changes': ['Sep 16, 2024\nStatus change from For Sale to Pending', 'Sep 21, 2024\nStatus change from Pending to Sold']}]",41507831,Single Family,Detached,2 Level,"50'4"" x 57'4""",N/A,5,4 / 1,"3,236 sqft","4,866 sqft","45,413 sqft (1.0 acres)","45,413 sqft (1.0 acres)","$1,166,500 (2025)",N/A,Asphalt Shingle,"Stone, Brick, Vinyl",Poured Concrete,"Full, Fully Developed, Walkout","Engineered Hardwood, Tile, Laminate",Heat Pump,Yes,N/A,Natural Gas,Municipal,Municipal,"Yes, Attached, Double, Heated (double, attached (24' x 22'))","Interlocking, Double (double, paving stone)",No,N/A,"Air Exchanger, Alarm System, Central Vacuum, Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation)","Cleared, Landscaped","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Central Vacuum, Dishwasher, Dryer, Range - Gas, Refrigerator, Washer, Wine Fridge",Appliances,N/A,None,Parachute Realty,No,N/A,No
21 Element Court,https://www.viewpoint.ca/cutsheet/202409631/1/21-Element-Court,202409631,"Check out this stunning Shaughnessy-built home in one of the most premium and sought-after cul-de-sacs in Brookline Park. Spread over a 70-foot lot and 50 feet wide, it starts impressing right from the paver-stone driveway. The house features 5 bedrooms and 4.5 baths, blending space with style. Imagine throwing parties in the spacious kitchen with a large island, plenty of cabinets, a dining area, and a cozy great room with a warm gas fireplace. There's also a versatile family room on the main level that could serve as your home office or den. Downstairs, enjoy a quartz-countered wet bar, flex room, large bright bedroom, full bath and lovely family room. Don’t overlook the super-handy mudroom, perfect for those busy days when you’re rushing in from the garage. Upstairs, the kids can enjoy a Jack and Jill bathroom and a junior ensuite, while the luxurious primary bedroom at the back offers ultimate privacy with a walk-in closet that leads to an ensuite featuring a custom shower, soaker tub, and double sinks. Plus, for those who are eco-conscious, there’s a pre-installed 50 AMP electric vehicle charger and natural gas hot water heater. The house is being used as a model home and is complete. This home truly has it all!",2024-05-07,1389000,21 Element Court,Bedford,B4B 2K4,5,5,"[{'status': 'Cancelled', 'start_date': 'May 7, 2024', 'end_date': 'Jan 25, 2025', 'list_price': '$1,389,000', 'sold_price': '', 'duration': '263 days', 'changes': ['Jan 25, 2025\nStatus change from For Sale to Cancelled']}]",41507914,Single Family,Detached,2 Level,50 x 46.4,N/A,5,4 / 1,"3,127 sqft","4,407 sqft","11,356 sqft","11,356 sqft","$1,043,700 (2025)",N/A,Asphalt Shingle,"Steel, Stone, Vinyl",Poured Concrete,Fully Developed,"Engineered Hardwood, Ceramic, Laminate","Baseboard, Heat Pump",Yes,No,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in, Heated (double built-in)",Double (double),No,N/A,"Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation)","Wooded/Treed, Partial Cleared","Electrical, Cable, Telephone, Natural Gas, High Speed Internet",N/A,Appliances that are currently installed,Staging furniture.,None,Royal Lepage Atlantic,No,N/A,No
166 Talus Avenue,https://www.viewpoint.ca/cutsheet/202500602/1/166-Talus-Avenue,202500602,"Welcome to this stunning 4,300 sqft home in West Bedford, offering luxurious living with an open-concept design. The main level boasts a spacious living and dining area, a gourmet kitchen with a central island, great size pantry, and coffee station, plus a dining nook beside the cozy family room with a fireplace and custom TV wall. Upstairs, the primary suite features a spa-like 5-piece ensuite, custom shower, and walk-in closet, while a second bedroom includes its own ensuite, complemented by two additional bedrooms, a full bath, and a laundry room with extra cabinetry and a wash station. The walk-out basement offers a large rec room with a wet bar, a bedroom with a full bath, and a versatile media room or office. Step outside to enjoy the fully fenced backyard with a composite deck, gazebo, and breathtaking Blue Mountain Park views. With a ducted heat pump for efficient heating and cooling, this home is truly a masterpiece!",2025-01-10,1366666,166 Talus Avenue,Bedford,B4B 1L7,5,5,"[{'status': 'Sold', 'start_date': 'Jan 10, 2025', 'end_date': 'Jan 31, 2025', 'list_price': '$1,366,666', 'sold_price': '$1,330,000', 'duration': '21 days', 'changes': ['Jan 22, 2025\nStatus change from For Sale to Pending', 'Jan 31, 2025\nStatus change from Pending to Sold']}, {'status': 'Sold', 'start_date': 'Dec 22, 2020', 'end_date': 'Feb 22, 2021', 'list_price': '$929,900', 'sold_price': '$929,900', 'duration': '62 days', 'changes': ['Feb 10, 2021\nStatus change from For Sale to Pending', 'Feb 23, 2021\nStatus change from Pending to Sold']}]",41493065,Single Family,Detached,2 Level,40x50.6,3,5,4 / 1,"2,963 sqft","4,326 sqft","6,455 sqft","6,455 sqft","$1,250,000 (2025)",N/A,Asphalt Shingle,"Masonite/Colour Lock, Aluminium Siding, Vinyl",Poured Concrete,Full,"Engineered Hardwood, Tile, Laminate",Heat Pump,Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in (built in double)",Exposed Aggregate,No,N/A,"Air Exchanger, Fireplace(s), HRV (Heat Recovery Ventilation)","Landscaped, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Cooktop - Gas, Dryer, Refrigerator, Washer",All applainces,N/A,None,Royal Lepage Atlantic,Yes,N/A,No
176 Talus Avenue,https://www.viewpoint.ca/cutsheet/202417878/1/176-Talus-Avenue,202417878,"Welcome to this stunning single detached home, only two years old, offering 4,276 sq ft of luxurious living space. The main floor features an open concept design with a spacious living room, dining room, and family room, all under 9-foot ceilings. Step outside to a 24' wide deck facing southwest, perfect for enjoying sunsets. Upstairs, you'll find four generously sized bedrooms, including two with ensuite bathrooms, plus an additional full bathroom. The walk-out basement includes two more bedrooms, a full bathroom, and a large recreation room, ideal for entertaining. This home is equipped with a ducted heat pump with natural gas back up for year-round comfort. The fully fenced backyard boasts a newly extended deck, built just last year, providing ample space for outdoor gatherings. Located just steps away from a brand-new school and a two-minute walk to the school bus stop, this property is perfect for families. Blue Mountain Park, situated right behind the property, offers unparalleled privacy and a natural retreat. Don't miss the opportunity to make this beautiful home yours!",2024-07-25,1349000,176 Talus Avenue,Halifax,B4B 2G3,6,5,"[{'status': 'Sold', 'start_date': 'Jul 25, 2024', 'end_date': 'Aug 2, 2024', 'list_price': '$1,349,000', 'sold_price': '$1,309,880', 'duration': '8 days', 'changes': ['Jul 31, 2024\nStatus change from For Sale to Pending', 'Aug 6, 2024\nStatus change from Pending to Sold']}, {'status': 'Sold', 'start_date': 'Jul 16, 2021', 'end_date': 'Sep 24, 2021', 'list_price': '$1,099,900', 'sold_price': '$1,099,900', 'duration': '70 days', 'changes': ['Jul 23, 2021\nStatus change from For Sale to Pending', 'Aug 3, 2021\nStatus change from Pending to For Sale', 'Sep 22, 2021\nStatus change from For Sale to Pending', 'Sep 27, 2021\nStatus change from Pending to Sold']}]",41493081,Single Family,Detached,2 Level,"48'8"" x 38'6""",2,6,4 / 1,"2,940 sqft","4,276 sqft","7,173 sqft","7,173 sqft","$1,253,400 (2025)",Potential,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,"Fully Developed, Walkout","Engineered Hardwood, Tile, Laminate","Heat Pump, Ducted Cooling",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in (double, built in)","Exposed Aggregate, Parking Space(s), Multiple Driveways (triple car driveway)",No,N/A,"Gas Stove(s), Alarm System, Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation)","Landscaped, Level, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Cooktop - Gas, Dishwasher, Dryer, Refrigerator, Washer","Fridge,Stove,Dishwasher,Washer,Dryer",N/A,None,Re/max Nova,Yes,N/A,No
187 Talus Avenue,https://www.viewpoint.ca/cutsheet/202426479/1/187-Talus-Avenue,202426479,"Welcome to 187 Talus Avenue in the prestigious Bedford West community of Brookline Park. This two-year-old Rooftight-built Dresden Model is still under builder warranty, offering quality and peace of mind. Nestled within the famous Bedford West school zone, this home is ideal for families seeking top educational options nearby. The spacious layout includes 5 bedrooms, an office, and a 1.5 car garage with a rough-in for an EV charger, making it a future-ready choice. Enjoy the convenience of a ducted heat pump, providing efficient year-round comfort, along with upgraded lighting fixtures, a charming French-style accent wall in the dining area, and a low-maintenance composite deck with stairs leading to the ground level. This property combines style, functionality, and a prime location in one of Halifax’s most desirable neighborhoods.",2024-11-12,939000,187 Talus Avenue,Bedford West,B4B 1T9,5,4,"[{'status': 'Sold', 'start_date': 'Nov 12, 2024', 'end_date': 'Dec 11, 2024', 'list_price': '$939,000', 'sold_price': '$922,500', 'duration': '29 days', 'changes': ['Dec 2, 2024\nStatus change from For Sale to Pending', 'Dec 12, 2024\nStatus change from Pending to Sold']}, {'status': 'Sold', 'start_date': 'Jan 4, 2021', 'end_date': 'Dec 18, 2020', 'list_price': '$691,900', 'sold_price': '$691,900', 'duration': '-17 days', 'changes': ['Jan 6, 2021\nStatus change from For Sale to Sold']}]",41493206,Single Family,Detached,2 Level,28x45.4,2,5,3 / 1,"2,382 sqft","3,122 sqft","7,387 sqft","7,387 sqft","$869,100 (2025)",N/A,Asphalt Shingle,"Wood Siding, Brick, Vinyl",Poured Concrete,Fully Developed,"Engineered Hardwood, Tile, Laminate","Heat Pump, Fireplace",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, 1.5, Heated (1.5 heated)","Paved, Double (double driveway)",No,N/A,"Air Exchanger, Ensuite Bath, Fireplace(s), Central Vac Roughed In",Landscaped,"Electrical, Cable, Telephone, Natural Gas, High Speed Internet, Other","Dishwasher, Dryer - Electric, Microwave, Refrigerator, Stove, Washer",All appliances,N/A,None,Royal Lepage Atlantic,Yes,N/A,No
74 Samaa Court,https://www.viewpoint.ca/cutsheet/202426162/1/74-Samaa-Court,202426162,"Welcome to this stunning 2-year-old custom-built home, a perfect blend of modern design and thoughtful functionality. With 6 spacious bedrooms and 5 luxurious bathrooms, this home is ideal for large families or those who love to entertain. The main floor boasts an inviting living room with a fireplace, a cozy family room with a natural gas fireplace, and expansive windows that flood the space with natural light. The modern kitchen, complete with a walk-in pantry and easy access to the deck, is a chef's dream—perfect for hosting friends or enjoying family meals.  Upstairs, you’ll find four spacious bedrooms, including two master suites with private ensuite bathrooms, while the other two bedrooms share a well-appointed bathroom. The walk-out basement adds versatility, featuring a large rec room, two additional bedrooms, and a full bathroom—ideal for guests or extended family.  Quality and convenience shine throughout, with all essentials like the dryer, stove, hot water tank ,fireplace and BBQ connected to natural gas. Additional features include soaring 11-foot ceilings in the main area, 9-foot ceilings in the basement, a composite deck with glass railing and privacy glass, and a fully landscaped backyard. Plus, this home sits on the widest lot on the street, offering ample frontage and curb appeal. A double-car garage and plenty of storage space complete this exceptional property.  Don’t miss the opportunity to own this remarkable home—your perfect space awaits!",2024-11-06,1174000,74 Samaa Court,Bedford,B4B 0Y4,6,5,"[{'status': 'Sold', 'start_date': 'Nov 6, 2024', 'end_date': 'Dec 6, 2024', 'list_price': '$1,174,000', 'sold_price': '$1,160,000', 'duration': '30 days', 'changes': ['Nov 22, 2024\nStatus change from For Sale to Pending', 'Dec 6, 2024\nStatus change from Pending to Sold']}]",41456591,Single Family,Detached,2 Level,45x55,2,6,4 / 1,"2,855 sqft","4,065 sqft","7,033 sqft","7,033 sqft","$1,151,200 (2025)",Potential,Asphalt Shingle,"Brick, Aluminium Siding, Vinyl",Poured Concrete,"Fully Developed, Walkout","Engineered Hardwood, Ceramic, Laminate","Heat Pump, Fireplace",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Double (double - attached)",Paved,No,N/A,"Gas Stove(s), Alarm System, Ensuite Bath, Fireplace(s)",Landscaped,"Electrical, Telephone, High Speed Internet, Other","Dishwasher, Dryer - Gas, Microwave, Refrigerator, Stove - Gas, Washer",all appliances. High end custom made blinds,N/A,None,Re/max Nova,Yes,N/A,No
119 Samaa Court,https://www.viewpoint.ca/cutsheet/202505125/1/119-Samaa-Court,202505125,"This masterfully designed single-family home blends modern elegance, comfort, and functionality. Nestled in a sought-after West Bedford neighbourhood, this residence offers five spacious bedrooms, 4.5 well-appointed bathrooms, and a versatile office space, ensuring ample space for family living. The bright open-concept main floor features engineered hardwood floors and a gourmet kitchen—a chef’s dream—with high-end appliances, quartz countertops, and a walk-in pantry with abundant storage. The inviting living area, centered around a natural gas fireplace, exudes warmth and sophistication. Upstairs, four generously sized bedrooms include two ensuites, providing privacy and convenience. The fully finished walkout basement offers a versatile rec room, wet bar for entertaining, an extra bedroom, and a full bath—ideal for guests or growing families. Outside, the fully fenced backyard provides a private retreat, with south-facing exposure filling the home with natural light. The large, custom-built shed offers plenty of storage for all your outdoor equipment and gear. Additionally, the house includes roof mounted solar panels and an integrated battery backup system providing low-cost utilities and power outages are no longer a concern. Close to top schools, parks, and amenities, this exceptional home offers the perfect balance of style, practicality and location.",2025-03-17,1100000,119 Samaa Court,Bedford,B4B 0Y5,5,5,"[{'status': 'Sold', 'start_date': 'Mar 17, 2025', 'end_date': 'Mar 28, 2025', 'list_price': '$1,100,000', 'sold_price': '$1,075,000', 'duration': '11 days', 'changes': ['Mar 21, 2025\nStatus change from For Sale to Pending', 'Mar 28, 2025\nStatus change from Pending to Sold']}, {'status': 'Sold', 'start_date': 'Apr 6, 2018', 'end_date': 'May 27, 2019', 'list_price': '$599,900', 'sold_price': '$619,200', 'duration': '416 days', 'changes': ['May 31, 2018\nPrice change from $569,900 to $579,900', 'Feb 12, 2019\nPrice change from $579,900 to $589,900', 'Mar 1, 2019\nPrice change from $589,900 to $599,900', 'May 28, 2019\nStatus change from For Sale to Sold']}]",41456005,Single Family,Detached,2 Level,30 x 50,6,5,4 / 1,"2,413 sqft","3,501 sqft","5,851 sqft","5,851 sqft","$987,500 (2025)",N/A,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,"Fully Developed, Walkout","Engineered Hardwood, Tile, Laminate","Forced Air, Fireplace",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, 1.5, Heated (attached 1.5)",Exposed Aggregate (double),No,N/A,"Gas Stove(s), Alarm System, Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation), Central Vac Roughed In","Landscaped, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer - Electric, Oven - Electric, Range - Gas, Refrigerator, Washer, Wine Fridge","wine bar, stove, fridge, dw, w,d",Stand up freezer inbasement,Other,Keller Williams Select Realty,Yes,N/A,No
10 Weybridge Lane,https://www.viewpoint.ca/cutsheet/202408295/1/10-Weybridge-Lane,202408295,"Experience luxury living at its finest in this executive custom-built home nestled in the prestigious Waterberry Park. Boasting endless upgraded features and finishes designed to cater to comfort, convenience and style - this property exudes impeccable craftsmanship and sophistication. Entertain with ease in this highly functional and open-concept layout, anchored by a soaring natural stone propane fireplace and wood ceiling beams that beckon guests to gather and unwind. The kitchen boasts double islands, a wine bar, walk-in pantry and a double fridge/freezer - perfect for culinary enthusiasts. The main floor is completed with TWO office spaces, ideal for either professional use or as flexible areas to cater to the needs of a growing family, along with TWO functional mudrooms for all your storage needs. Retreat to the sprawling primary suite, offering a sanctuary of its own with a walk-in closet and spacious ensuite bath boasting indulgent details including a double shower and soaker tub. The sprawling basement offers a large family room with wet bar for relaxation and recreation and also affords a gym, an additional bedroom and bath and provides ample storage space. Step outside into your own private paradise, where the backyard transforms into an oasis of luxury and leisure. Take a dip in the sparkling in-ground saltwater pool or unwind in the rejuvenating saltwater hot tub, surrounded by lush landscaping and the soothing sounds of nature. Complete with an inviting pool house featuring a washroom and kitchenette, outdoor entertaining reaches new heights of sophistication and comfort. But the allure of this home extends beyond its luxurious amenities. With direct access to a scenic trail system, greenbelt ,and a swimmable lake just minutes away, outdoor enthusiasts will find endless opportunities for adventure right outside their doorstep. Don't miss your chance to experience the perfect blend of tranquility and luxury in this West Bedford masterpiece.",2024-04-25,2300000,10 Weybridge Lane,West Bedford,B4B 1H6,5,4,"[{'status': 'Sold', 'start_date': 'Apr 25, 2024', 'end_date': 'May 27, 2024', 'list_price': '$2,300,000', 'sold_price': '$2,200,000', 'duration': '32 days', 'changes': ['May 16, 2024\nStatus change from For Sale to Pending', 'May 28, 2024\nStatus change from Pending to Sold']}]",41403437,Single Family,Detached,2 Level,56' x 50'6,5,5,3 / 1,"3,670 sqft","5,455 sqft","18,435 sqft","18,435 sqft","$1,808,600 (2025)",N/A,"Asphalt Shingle, Metal","Stone, Wood Siding",Poured Concrete,"Fully Developed, Walkout","Engineered Hardwood, Tile, Laminate","Heat Pump, In Floor, Ducted Cooling",Yes,Yes,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Double, Heated (attached double)","Exposed Aggregate, Parking Space(s), Multiple Driveways (multiple spots)",No,N/A,"Ensuite Bath, In-Ground Pool, Fireplace(s), HRV (Heat Recovery Ventilation)","Cleared, Landscaped, Fenced, Wooded/Treed","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Freezer - Stand Up, Range - Gas, Refrigerator, Washer, Wine Fridge","Fridge/freezer combo, range, dishwasher, bar fridge, washer/dryer, all blinds.",N/A,None,Parachute Realty,Yes,N/A,No
